RA Decl
05:18:10.17 -70:21:11.9
05:18:14.67 -70:37:51.4
05:18:15.62 -70:07:16.7
05:18:18.74 -69:07:51.2
05:18:19.06 -70:17:42.6
05:18:34.47 -69:45:33.0
05:18:39.70 -69:32:35.6
05:18:49.01 -69:38:19.3
05:18:51.09 -70:02:42.2
05:18:52.05 -69:29:51.1
05:18:55.86 -69:26:17.7
05:19:03.69 -69:39:16.6
05:19:04.48 -69:19:05.4
05:19:14.04 -69:51:17.2
05:19:14.72 -69:52:37.0
05:19:19.74 -69:39:56.3
05:19:26.38 -70:19:12.0
05:19:27.36 -69:14:35.9
05:19:37.74 -70:01:25.0
05:19:38.32 -69:39:04.7
05:19:42.50 -68:15:47.6
05:20:03.15 -69:22:56.3
05:20:13.39 -69:22:53.2
05:20:14.61 -70:40:48.8
05:20:36.07 -70:00:46.4
05:20:40.74 -70:49:42.8
05:20:42.24 -69:57:02.3
05:20:43.72 -69:21:29.8
05:20:47.82 -69:12:01.3
05:20:49.54 -69:22:12.3
05:20:58.01 -70:22:17.5
05:21:04.06 -70:38:49.8
05:21:18.34 -69:15:38.6
05:21:21.36 -69:43:44.5
05:21:31.21 -69:21:54.4
05:21:36.96 -69:37:31.6
05:21:53.51 -69:30:55.8
05:22:00.08 -69:35:10.3
05:22:13.10 -69:51:00.3
05:22:13.34 -69:03:30.0
05:22:53.07 -70:11:13.2
05:22:55.17 -70:38:46.5
05:23:01.75 -67:58:27.3
05:23:05.99 -69:16:49.5
05:23:07.88 -70:34:26.7
05:23:15.68 -69:23:07.6
05:23:17.14 -67:36:26.3
05:23:19.47 -70:33:38.0
05:23:29.53 -69:23:30.8
05:23:47.66 -69:53:48.4
05:24:01.89 -69:49:20.6
05:24:01.91 -69:13:52.1
05:24:28.95 -70:59:58.5
05:24:32.81 -70:09:21.1
05:24:35.64 -69:51:50.4
05:24:36.92 -70:33:15.1
05:24:38.26 -70:00:28.7
05:24:50.90 -68:52:11.5
05:25:06.65 -68:48:23.3
05:25:08.03 -69:24:34.1
05:25:15.04 -69:57:25.8
05:25:21.86 -69:05:25.6
05:25:41.96 -69:48:47.4
05:25:50.39 -69:08:42.8
05:25:58.39 -70:03:42.3
05:26:18.26 -69:11:44.1
05:26:24.45 -68:47:05.0
05:26:25.67 -71:41:45.8
05:26:28.44 -66:37:54.0
05:26:34.23 -71:36:37.6
05:26:49.26 -69:49:22.4
05:26:50.41 -69:49:22.3
05:26:53.48 -69:03:20.7
05:26:56.83 -69:54:40.7
05:26:59.38 -70:41:25.7
05:27:14.53 -69:01:59.7
05:27:16.09 -69:46:24.2
05:27:22.00 -68:56:13.3
05:27:29.73 -70:44:15.6
05:27:33.91 -70:09:19.5
05:27:40.55 -69:05:59.2
05:27:40.63 -70:25:07.5
05:27:41.79 -69:15:57.2
05:27:45.23 -70:35:15.2
05:28:12.28 -69:34:18.0
05:28:19.06 -69:07:50.7
05:28:22.83 -70:32:36.2
05:28:30.75 -70:10:43.2
05:28:47.62 -69:34:03.9
05:28:48.25 -70:09:03.6
05:28:48.51 -69:22:06.0
05:28:48.76 -69:44:51.9
05:28:49.98 -70:12:11.1
05:29:13.46 -67:00:08.7
05:29:15.25 -70:05:49.1
05:29:22.57 -68:44:20.8
05:29:29.57 -70:00:39.2
05:29:31.99 -70:11:08.4
05:29:40.18 -66:44:45.8
05:29:47.63 -71:11:11.6
05:29:48.71 -69:23:18.6
05:29:51.27 -71:57:10.1
05:30:02.38 -71:51:00.9
05:30:17.56 -71:44:35.3
05:30:18.89 -70:26:24.5
05:30:19.42 -69:07:23.3
05:30:27.17 -71:02:56.2
05:30:33.26 -70:04:36.6
05:30:33.44 -70:17:42.0
05:30:34.51 -70:57:44.2
05:30:37.23 -70:43:21.4
05:30:59.15 -69:06:53.0
05:31:04.44 -70:22:03.2
05:31:06.56 -69:55:26.6
05:31:09.06 -69:24:30.3
05:31:09.22 -69:27:49.1
05:31:24.38 -70:19:27.3
05:31:52.49 -69:51:55.1
05:31:59.81 -69:34:39.7
05:32:02.30 -69:32:09.4
05:32:03.77 -70:29:48.7
05:32:19.94 -70:00:43.5
05:32:24.86 -69:06:58.4
05:32:26.33 -70:06:04.8
05:32:26.55 -69:31:21.3
05:32:33.12 -69:43:40.6
05:32:36.72 -69:24:44.4
05:32:37.75 -65:38:43.4
05:32:40.00 -69:13:30.1
05:32:50.71 -69:42:52.6
05:33:09.32 -69:52:38.3
05:33:10.26 -68:32:01.5
05:33:24.32 -71:03:45.0
05:33:25.54 -69:43:32.5
05:33:27.00 -70:07:51.7
05:33:33.41 -71:18:07.3
05:33:44.77 -69:34:19.4
05:33:51.82 -69:35:25.7
05:33:56.64 -70:19:19.7
05:34:04.58 -70:33:51.0
05:34:07.06 -69:07:13.5
05:34:07.84 -69:05:11.7
05:34:10.74 -67:26:45.4
05:34:11.26 -66:56:56.5
05:34:14.86 -69:50:35.2
05:34:32.79 -69:45:24.1
05:34:43.55 -71:16:32.4
05:34:46.47 -70:30:05.2
05:34:53.54 -69:29:26.7
05:35:06.34 -70:16:26.5
05:35:06.74 -70:16:32.1
05:35:07.01 -69:41:58.6
05:35:16.88 -69:02:53.8
05:35:19.23 -67:16:01.8
05:35:23.56 -68:49:01.9
05:35:27.21 -67:57:43.3
05:35:37.46 -69:15:53.2
05:35:55.32 -70:28:47.3
05:36:00.48 -69:29:26.0
05:36:00.97 -69:42:27.1
05:36:13.43 -68:55:44.3
05:36:15.81 -69:33:46.0
05:36:25.81 -69:29:12.2
05:36:45.63 -70:01:42.2
05:36:51.21 -69:56:38.2
05:36:51.22 -69:59:36.7
05:37:01.25 -68:26:03.9
05:37:01.32 -71:21:23.9
05:37:24.92 -69:20:05.5
05:37:33.14 -69:49:58.0
05:37:35.80 -70:07:16.0
05:37:43.44 -70:43:59.4
05:37:44.49 -68:01:59.8
05:37:51.13 -69:32:26.3
05:37:56.11 -69:36:04.5
05:38:07.61 -71:44:53.2
05:38:11.28 -68:10:32.3
05:38:32.64 -69:03:56.0
05:38:41.15 -67:58:06.8
05:38:46.45 -66:22:18.6
05:39:14.20 -70:25:52.6
05:39:35.30 -69:48:35.7
05:39:36.12 -71:04:49.9
05:39:42.30 -69:45:28.0
05:39:48.36 -70:24:22.6
05:39:56.66 -70:48:07.9
05:40:03.05 -70:20:00.0
05:40:06.32 -70:28:20.1
05:40:13.76 -71:17:51.0
05:40:17.10 -68:24:09.6
05:41:06.51 -70:52:50.0
05:41:09.01 -70:57:00.9
05:41:25.70 -70:32:31.3
05:41:39.74 -68:32:22.6
05:41:41.14 -71:05:45.0
05:41:49.85 -68:44:39.6
05:41:58.12 -70:01:01.5
05:42:28.82 -67:30:52.5
05:42:33.74 -68:16:50.0
05:42:46.62 -67:33:38.5
05:42:47.83 -68:22:00.3
05:43:07.13 -68:09:22.5
05:43:08.95 -70:49:41.3
05:43:09.42 -70:05:43.9
05:43:19.37 -69:09:57.9
05:43:53.02 -68:49:14.3
05:44:10.36 -67:48:36.6
05:44:12.13 -68:48:55.5
05:44:20.59 -70:56:28.1
05:44:20.96 -67:04:07.5
05:44:44.66 -68:30:56.0
05:44:48.45 -70:10:06.6
05:44:58.73 -69:21:49.8
05:45:02.25 -70:47:39.6
05:45:13.38 -69:30:00.2
05:45:52.94 -69:11:10.3
05:46:01.61 -67:35:54.6
05:46:02.71 -70:40:28.1
05:46:04.90 -67:37:50.6
05:46:08.82 -70:42:43.9
05:46:15.42 -69:26:52.3
05:46:24.30 -69:28:39.5
05:46:47.98 -70:35:05.8
05:47:14.70 -71:09:41.8
05:47:40.88 -70:48:16.9
05:47:50.45 -68:00:23.4
05:48:13.95 -71:19:17.2
05:49:40.74 -69:46:00.4
05:49:41.81 -69:56:57.7
05:50:51.11 -69:56:18.1
05:51:04.05 -72:15:41.5
05:51:14.75 -69:14:04.3
05:52:12.50 -68:10:08.0
05:52:20.44 -71:24:50.8
05:52:32.38 -69:25:54.1
05:53:02.09 -68:08:56.2
