sed_filter,la,width,flux,eflux
Cousins.U,3500.2,319.0,-10.0721,0.04
SDSS.u,3519.02,277.0,-10.0824,0.04
Johnson.U,3531,309.0,-10.1092,0.04
Cousins.B,4359.98,464.0,-10.2515,0.04
Johnson.B,4442.03,445.0,-10.2854,0.04
SDSS.g,4819.97,622.0,-10.3192,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.3934,0.04
Cousins.V,5469.67,421.0,-10.4977,0.04
Johnson.V,5537.05,409.0,-10.4727,0.04
GAIA.GAIA3.G,5822.34,2026.0,-10.5583,0.04
SDSS.r,6246.98,631.0,-10.6012,0.04
Cousins.R,6468.99,648.0,-10.677,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.8549,0.04
SDSS.i,7634.91,645.0,-10.8582,0.04
Cousins.I,7885.95,475.0,-10.8772,0.04
SDSS.z,9017.94,663.0,-11.065,0.04
2MASS.J,12390.2,750.0,-11.3833,0.04
Johnson.J,12500.2,1500.0,-11.4214,0.04
Johnson.H,16300.2,1000.0,-11.7545,0.04
2MASS.H,16494.8,1200.0,-11.7235,0.04
2MASS.Ks,21637.9,1250.0,-12.0362,0.05821116024245953
Johnson.K,21900.2,2700.0,-12.1288,0.04
WISE.W1,33500.1,3300.0,-12.5949,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.6618,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.9743,0.04
WISE.W2,46000.2,5200.0,-13.0654,0.04
WISE.W3,115598,27550.0,-13.3333,0.04
