sed_filter,la,width,flux,eflux
XMM-OT.UVW1,2908.07,577.0,-11.2601,0.04
Cousins.U,3500.2,319.0,-11.3471,0.04
SDSS.u,3519.02,277.0,-11.4106,0.04
Johnson.U,3531,309.0,-11.2335,0.04
Cousins.B,4359.98,464.0,-11.0196,0.04
Johnson.B,4442.03,445.0,-10.9378,0.04
SDSS.g,4819.97,622.0,-10.9438,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.875,0.04
Cousins.V,5469.67,421.0,-10.8202,0.04
Johnson.V,5537.05,409.0,-10.7807,0.04
GAIA.GAIA3.G,5822.34,2026.0,-10.7555,0.04
SDSS.r,6246.98,631.0,-10.7368,0.04
Cousins.R,6468.99,648.0,-10.7276,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.6834,0.04
SDSS.i,7634.91,645.0,-10.5878,0.04
Cousins.I,7885.95,475.0,-10.5933,0.04
2MASS.J,12390.2,750.0,-10.6838,0.04
Johnson.J,12500.2,1500.0,-10.6851,0.04
Johnson.H,16300.2,1000.0,-10.7225,0.04
2MASS.H,16494.8,1200.0,-10.7152,0.04
2MASS.Ks,21637.9,1250.0,-10.9742,0.04
Johnson.K,21900.2,2700.0,-11.0045,0.04
WISE.W1,33500.1,3300.0,-11.4742,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-11.5562,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-11.8597,0.04
WISE.W2,46000.2,5200.0,-11.9049,0.04
WISE.W3,115598,27550.0,-13.2702,0.18462760788288662
