sed_filter,la,width,flux,eflux
SDSS.u,3519.02,277.0,-11.7908,0.054858250635293246
Johnson.U,3531,309.0,-11.6429,0.04
Cousins.B,4359.98,464.0,-11.4559,0.04
Johnson.B,4442.03,445.0,-12.2292,0.04
SDSS.g,4819.97,622.0,-11.4869,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.5495,0.04
Cousins.V,5469.67,421.0,-11.5553,0.04
Johnson.V,5537.05,409.0,-11.5589,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.6125,0.04
SDSS.r,6246.98,631.0,-11.6216,0.04
Cousins.R,6468.99,648.0,-11.6573,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.751,0.04
SDSS.i,7634.91,645.0,-11.7367,0.04
Cousins.I,7885.95,475.0,-11.7361,0.04
SDSS.z,9017.94,663.0,-11.8762,0.04
2MASS.J,12390.2,750.0,-12.0636,0.05839254074702882
Johnson.J,12500.2,1500.0,-12.1204,0.04
Johnson.H,16300.2,1000.0,-12.391,0.04
2MASS.H,16494.8,1200.0,-12.1642,0.04
2MASS.Ks,21637.9,1250.0,-12.3412,0.04
Johnson.K,21900.2,2700.0,-12.6934,0.04108190710905443
WISE.W1,33500.1,3300.0,-12.9444,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-13.1875,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-13.4078,0.04
WISE.W2,46000.2,5200.0,-13.328,0.04
