sed_filter,la,width,flux,eflux
Cousins.U,3500.2,319.0,-11.1308,0.04
SDSS.u,3519.02,277.0,-11.1643,0.04
Johnson.U,3531,309.0,-11.1356,0.04
Cousins.B,4359.98,464.0,-11.2051,0.04
Johnson.B,4442.03,445.0,-11.1537,0.10439771756386351
SDSS.g,4819.97,622.0,-11.2687,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.32,0.04
Cousins.V,5469.67,421.0,-11.3838,0.04
Johnson.V,5537.05,409.0,-11.2961,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.4226,0.04
SDSS.r,6246.98,631.0,-11.4549,0.04
Cousins.R,6468.99,648.0,-11.4964,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.6184,0.04
SDSS.i,7634.91,645.0,-11.6696,0.04
Cousins.I,7885.95,475.0,-11.552,0.04
SDSS.z,9017.94,663.0,-11.7699,0.04
2MASS.J,12390.2,750.0,-11.9225,0.0536274558561118
Johnson.J,12500.2,1500.0,-11.9177,0.05342511431045875
Johnson.H,16300.2,1000.0,-12.0144,0.04
2MASS.H,16494.8,1200.0,-12.0154,0.04
2MASS.Ks,21637.9,1250.0,-12.1753,0.04
Johnson.K,21900.2,2700.0,-12.5134,0.04
WISE.W1,33500.1,3300.0,-12.6644,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.8944,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-13.0651,0.04
WISE.W2,46000.2,5200.0,-13.0012,0.04
WISE.W3,115598,27550.0,-13.2023,0.04
