sed_filter,la,width,flux,eflux
XMM-OT.UVW2,2118.97,324.0,-9.93285,0.04
XMM-OT.UVW1,2908.07,577.0,-10.153,0.04
Cousins.U,3500.2,319.0,-10.5207,0.04
SDSS.u,3519.02,277.0,-10.5109,0.04
Johnson.U,3531,309.0,-10.5896,0.04
Cousins.B,4359.98,464.0,-10.6376,0.04
Johnson.B,4442.03,445.0,-10.3883,0.04
SDSS.g,4819.97,622.0,-10.7191,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.7875,0.04
Cousins.V,5469.67,421.0,-10.8738,0.04
Johnson.V,5537.05,409.0,-10.5916,0.04
GAIA.GAIA3.G,5822.34,2026.0,-10.9342,0.04
SDSS.r,6246.98,631.0,-10.9925,0.04
Cousins.R,6468.99,648.0,-11.0485,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.2262,0.04
SDSS.i,7634.91,645.0,-11.3091,0.04
Cousins.I,7885.95,475.0,-11.2186,0.04
SDSS.z,9017.94,663.0,-11.4409,0.04
2MASS.J,12390.2,750.0,-11.8155,0.04329201314393488
Johnson.J,12500.2,1500.0,-11.5482,0.04
Johnson.H,16300.2,1000.0,-11.7572,0.04
2MASS.H,16494.8,1200.0,-11.7578,0.04
2MASS.Ks,21637.9,1250.0,-11.9046,0.04
Johnson.K,21900.2,2700.0,-11.9241,0.04
WISE.W1,33500.1,3300.0,-12.8229,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-13.0242,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-13.3464,0.04
WISE.W2,46000.2,5200.0,-13.1886,0.04
