sed_filter,la,width,flux,eflux
XMM-OT.UVW2,2118.97,324.0,-11.0298,0.04
XMM-OT.UVW1,2908.07,577.0,-11.182,0.04
Cousins.U,3500.2,319.0,-11.063,0.04
SDSS.u,3519.02,277.0,-11.0882,0.04
Johnson.U,3531,309.0,-11.0104,0.04
Cousins.B,4359.98,464.0,-10.9531,0.04
Johnson.B,4442.03,445.0,-11.5333,0.05603799875289196
SDSS.g,4819.97,622.0,-11.0244,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.1047,0.04
Cousins.V,5469.67,421.0,-11.1608,0.04
Johnson.V,5537.05,409.0,-11.173,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.2238,0.04
SDSS.r,6246.98,631.0,-11.2582,0.04
Cousins.R,6468.99,648.0,-11.3128,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.4602,0.04
SDSS.i,7634.91,645.0,-11.4725,0.04
Cousins.I,7885.95,475.0,-11.4586,0.04
SDSS.z,9017.94,663.0,-11.5969,0.04
2MASS.J,12390.2,750.0,-11.8847,0.04
Johnson.J,12500.2,1500.0,-11.8574,0.04
Johnson.H,16300.2,1000.0,-12.0899,0.04
2MASS.H,16494.8,1200.0,-12.0721,0.07362502792139329
2MASS.Ks,21637.9,1250.0,-12.0291,0.04
Johnson.K,21900.2,2700.0,-12.4012,0.04
WISE.W1,33500.1,3300.0,-12.7695,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.7174,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.9253,0.04
WISE.W2,46000.2,5200.0,-13.0621,0.04
WISE.W3,115598,27550.0,-13.2786,0.04
