sed_filter,la,width,flux,eflux
SDSS.u,3519.02,277.0,-11.7194,0.04
Johnson.U,3531,309.0,-11.6193,0.04
Cousins.B,4359.98,464.0,-11.3096,0.04
Johnson.B,4442.03,445.0,-11.3189,0.04
SDSS.g,4819.97,622.0,-11.251,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.2305,0.04
Cousins.V,5469.67,421.0,-11.1748,0.04
Johnson.V,5537.05,409.0,-11.173,0.5428681226150496
GAIA.GAIA3.G,5822.34,2026.0,-11.1579,0.04
SDSS.r,6246.98,631.0,-11.1313,0.04
Cousins.R,6468.99,648.0,-11.1381,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.1427,0.04
SDSS.i,7634.91,645.0,-11.0796,0.04
Cousins.I,7885.95,475.0,-11.0876,0.04
SDSS.z,9017.94,663.0,-11.1708,0.04
2MASS.J,12390.2,750.0,-11.2738,0.04
Johnson.J,12500.2,1500.0,-11.2453,0.04
Johnson.H,16300.2,1000.0,-11.405,0.04
2MASS.H,16494.8,1200.0,-11.3883,0.04
2MASS.Ks,21637.9,1250.0,-11.6681,0.04
Johnson.K,21900.2,2700.0,-11.6409,0.04681018562761382
WISE.W1,33500.1,3300.0,-12.1147,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.2358,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.5206,0.04
WISE.W2,46000.2,5200.0,-12.4887,0.04
WISE.W3,115598,27550.0,-12.9187,0.08032113491847617
