sed_filter,la,width,flux,eflux
Cousins.U,3500.2,319.0,-10.8686,0.04
SDSS.u,3519.02,277.0,-10.9023,0.04
Johnson.U,3531,309.0,-10.8643,0.04
Cousins.B,4359.98,464.0,-10.8384,0.04
Johnson.B,4442.03,445.0,-11.7054,0.05651776905824106
SDSS.g,4819.97,622.0,-10.8987,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.9628,0.04
Cousins.V,5469.67,421.0,-11.0231,0.04
Johnson.V,5537.05,409.0,-11.1946,0.05888738653572602
GAIA.GAIA3.G,5822.34,2026.0,-11.2164,0.04
SDSS.r,6246.98,631.0,-11.1313,0.04
Cousins.R,6468.99,648.0,-11.1697,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.2748,0.04
SDSS.i,7634.91,645.0,-11.3022,0.04
Cousins.I,7885.95,475.0,-11.2382,0.04
SDSS.z,9017.94,663.0,-11.4571,0.04
2MASS.J,12390.2,750.0,-11.6777,0.04
Johnson.J,12500.2,1500.0,-11.7876,0.05811882254298892
Johnson.H,16300.2,1000.0,-12.0111,0.07702581910150624
2MASS.H,16494.8,1200.0,-11.9524,0.04
2MASS.Ks,21637.9,1250.0,-12.2013,0.04
Johnson.K,21900.2,2700.0,-12.1518,0.04
WISE.W1,33500.1,3300.0,-12.726,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.7878,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-13.0753,0.04
WISE.W2,46000.2,5200.0,-13.0821,0.04
