sed_filter,la,width,flux,eflux
XMM-OT.UVW2,2118.97,324.0,-10.1744,0.04
Cousins.U,3500.2,319.0,-10.3455,0.04
SDSS.u,3519.02,277.0,-10.3759,0.04
Johnson.U,3531,309.0,-10.3284,0.04
Cousins.B,4359.98,464.0,-10.4255,0.04
Johnson.B,4442.03,445.0,-10.421,0.04
SDSS.g,4819.97,622.0,-10.4919,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.5413,0.04
Cousins.V,5469.67,421.0,-10.6118,0.04
Johnson.V,5537.05,409.0,-10.629,0.04603121398401791
GAIA.GAIA3.G,5822.34,2026.0,-10.738,0.04
SDSS.r,6246.98,631.0,-10.6977,0.04
Cousins.R,6468.99,648.0,-10.7374,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.8525,0.04
SDSS.i,7634.91,645.0,-10.8954,0.04
Cousins.I,7885.95,475.0,-10.8323,0.04
SDSS.z,9017.94,663.0,-11.0421,0.04
2MASS.J,12390.2,750.0,-11.2564,0.04
Johnson.J,12500.2,1500.0,-11.2603,0.04
Johnson.H,16300.2,1000.0,-11.6635,0.05888738653572602
2MASS.H,16494.8,1200.0,-11.5446,0.04
2MASS.Ks,21637.9,1250.0,-11.7828,0.04
Johnson.K,21900.2,2700.0,-11.7881,0.04
WISE.W1,33500.1,3300.0,-12.1511,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.2881,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.5293,0.04
WISE.W2,46000.2,5200.0,-12.5092,0.04
WISE.W3,115598,27550.0,-12.5649,0.04549751764489712
