sed_filter,la,width,flux,eflux
Cousins.B,4359.98,464.0,-12.1951,0.04
Johnson.B,4442.03,445.0,-12.7159,0.07009665247933383
SDSS.g,4819.97,622.0,-11.7591,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.7955,0.04
Cousins.V,5469.67,421.0,-11.7246,0.04
Johnson.V,5537.05,409.0,-11.4423,0.5404264184156261
GAIA.GAIA3.G,5822.34,2026.0,-11.5656,0.04
SDSS.r,6246.98,631.0,-11.5833,0.04
Cousins.R,6468.99,648.0,-11.5265,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.4095,0.04
SDSS.i,7634.91,645.0,-11.3766,0.04
Cousins.I,7885.95,475.0,-11.5285,0.04
SDSS.z,9017.94,663.0,-11.3919,0.04
2MASS.J,12390.2,750.0,-11.3088,0.04
Johnson.J,12500.2,1500.0,-11.3083,0.04237019355544413
Johnson.H,16300.2,1000.0,-11.3238,0.04
2MASS.H,16494.8,1200.0,-11.2811,0.04
2MASS.Ks,21637.9,1250.0,-11.516,0.04
Johnson.K,21900.2,2700.0,-11.5583,0.04944937100490646
WISE.W1,33500.1,3300.0,-12.0108,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.0522,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.3932,0.04
WISE.W2,46000.2,5200.0,-12.5138,0.04
WISE.W3,115598,27550.0,-12.9013,0.10318980979744093
