sed_filter,la,width,flux,eflux
XMM-OT.UVW1,2908.07,577.0,-11.8078,0.04
Johnson.U,3531,309.0,-11.6662,0.04
Cousins.B,4359.98,464.0,-11.2531,0.04
Johnson.B,4442.03,445.0,-11.2032,0.04
SDSS.g,4819.97,622.0,-11.1493,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.0579,0.04
Cousins.V,5469.67,421.0,-10.9916,0.04
Johnson.V,5537.05,409.0,-11.0259,0.0773743055179513
GAIA.GAIA3.G,5822.34,2026.0,-10.9191,0.04
SDSS.r,6246.98,631.0,-10.8907,0.04
Cousins.R,6468.99,648.0,-10.8776,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.8254,0.04
SDSS.i,7634.91,645.0,-10.7275,0.04
Cousins.I,7885.95,475.0,-10.9429,0.04
SDSS.z,9017.94,663.0,-10.8613,0.04
2MASS.J,12390.2,750.0,-10.8155,0.04
Johnson.J,12500.2,1500.0,-10.7825,0.04
Johnson.H,16300.2,1000.0,-10.8132,0.04
2MASS.H,16494.8,1200.0,-10.8423,0.04
2MASS.Ks,21637.9,1250.0,-11.1172,0.04
Johnson.K,21900.2,2700.0,-11.092,0.04
WISE.W1,33500.1,3300.0,-11.5297,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-11.6357,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-11.9826,0.04
WISE.W2,46000.2,5200.0,-12.0128,0.04
WISE.W3,115598,27550.0,-13.2723,0.1286017549920524
