sed_filter,la,width,flux,eflux
XMM-OT.UVW1,2908.07,577.0,-12.8532,0.05428681023790647
Johnson.U,3531,309.0,-12.5184,0.04136137888023302
Cousins.B,4359.98,464.0,-11.7578,0.04
Johnson.B,4442.03,445.0,-11.809,0.04531768890241923
SDSS.g,4819.97,622.0,-11.6499,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.4724,0.04
Cousins.V,5469.67,421.0,-11.4338,0.04
Johnson.V,5537.05,409.0,-11.3634,0.5401537707541396
GAIA.GAIA3.G,5822.34,2026.0,-11.325,0.04
SDSS.r,6246.98,631.0,-11.2854,0.04
Cousins.R,6468.99,648.0,-11.2585,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.1475,0.04
SDSS.i,7634.91,645.0,-11.0386,0.04
Cousins.I,7885.95,475.0,-11.1795,0.04
SDSS.z,9017.94,663.0,-11.1458,0.04
2MASS.J,12390.2,750.0,-11.0912,0.04
Johnson.J,12500.2,1500.0,-11.0899,0.04
Johnson.H,16300.2,1000.0,-11.1184,0.04
2MASS.H,16494.8,1200.0,-11.0684,0.04
2MASS.Ks,21637.9,1250.0,-11.3492,0.04
Johnson.K,21900.2,2700.0,-11.3681,0.04
WISE.W1,33500.1,3300.0,-11.836,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-11.8803,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.21,0.04
WISE.W2,46000.2,5200.0,-12.2643,0.04
