sed_filter,la,width,flux,eflux
XMM-OT.UVW1,2908.07,577.0,-11.4954,0.04
Cousins.U,3500.2,319.0,-11.5269,0.04
SDSS.u,3519.02,277.0,-11.5867,0.04
Johnson.U,3531,309.0,-11.4121,0.04
Cousins.B,4359.98,464.0,-11.0945,0.04
Johnson.B,4442.03,445.0,-11.7541,0.073214393175822
SDSS.g,4819.97,622.0,-11.0076,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.9352,0.04
Cousins.V,5469.67,421.0,-10.8755,0.04
Johnson.V,5537.05,409.0,-10.8255,0.05035298402395875
GAIA.GAIA3.G,5822.34,2026.0,-10.8126,0.04
SDSS.r,6246.98,631.0,-10.7912,0.04
Cousins.R,6468.99,648.0,-10.7826,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.7386,0.04
SDSS.i,7634.91,645.0,-10.6463,0.04
Cousins.I,7885.95,475.0,-10.6773,0.04
SDSS.z,9017.94,663.0,-10.7286,0.04
2MASS.J,12390.2,750.0,-10.7559,0.04
Johnson.J,12500.2,1500.0,-10.7491,0.04
Johnson.H,16300.2,1000.0,-10.7984,0.04
2MASS.H,16494.8,1200.0,-10.782,0.04
2MASS.Ks,21637.9,1250.0,-11.0543,0.04
Johnson.K,21900.2,2700.0,-11.065,0.04
WISE.W1,33500.1,3300.0,-11.4058,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-11.6216,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-11.9327,0.04
WISE.W2,46000.2,5200.0,-11.8495,0.04
WISE.W3,115598,27550.0,-12.983,0.09747258569842934
