sed_filter,la,width,flux,eflux
Cousins.U,3500.2,319.0,-10.2348,0.04
SDSS.u,3519.02,277.0,-10.2333,0.04
Johnson.U,3531,309.0,-10.3084,0.04
Cousins.B,4359.98,464.0,-10.3366,0.04
Johnson.B,4442.03,445.0,-10.3294,0.04
SDSS.g,4819.97,622.0,-10.4173,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.4857,0.04
Cousins.V,5469.67,421.0,-10.5665,0.04
Johnson.V,5537.05,409.0,-10.7199,0.060455769727070216
GAIA.GAIA3.G,5822.34,2026.0,-10.6265,0.04
SDSS.r,6246.98,631.0,-10.6774,0.04
Cousins.R,6468.99,648.0,-10.7309,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.9,0.04
SDSS.i,7634.91,645.0,-10.9746,0.04
Cousins.I,7885.95,475.0,-11.0291,0.04
SDSS.z,9017.94,663.0,-11.13,0.04
2MASS.J,12390.2,750.0,-11.4431,0.04
Johnson.J,12500.2,1500.0,-11.4242,0.04
Johnson.H,16300.2,1000.0,-11.7545,0.04
2MASS.H,16494.8,1200.0,-11.7071,0.04
2MASS.Ks,21637.9,1250.0,-11.7378,0.04
Johnson.K,21900.2,2700.0,-12.0848,0.04
WISE.W1,33500.1,3300.0,-12.4219,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.608,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.9204,0.04
WISE.W2,46000.2,5200.0,-12.6201,0.04
