sed_filter,la,width,flux,eflux
XMM-OT.UVW2,2118.97,324.0,-10.7063,0.04
XMM-OT.UVW1,2908.07,577.0,-10.7965,0.04
Cousins.U,3500.2,319.0,-10.8072,0.04
SDSS.u,3519.02,277.0,-10.8521,0.04
Johnson.U,3531,309.0,-10.867,0.04
Cousins.B,4359.98,464.0,-10.8794,0.04
Johnson.B,4442.03,445.0,-10.8633,0.04
SDSS.g,4819.97,622.0,-10.9534,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11,0.04
Cousins.V,5469.67,421.0,-11.0793,0.04
Johnson.V,5537.05,409.0,-11.0335,0.08381121408962783
GAIA.GAIA3.G,5822.34,2026.0,-11.1421,0.04
SDSS.r,6246.98,631.0,-11.1486,0.04
Cousins.R,6468.99,648.0,-11.1879,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.2946,0.04
SDSS.i,7634.91,645.0,-11.3341,0.04
Cousins.I,7885.95,475.0,-11.403,0.04
SDSS.z,9017.94,663.0,-11.4571,0.04
2MASS.J,12390.2,750.0,-11.7099,0.04
Johnson.J,12500.2,1500.0,-11.7291,0.08764041118906053
Johnson.H,16300.2,1000.0,-12.0062,0.14179389522657748
2MASS.H,16494.8,1200.0,-11.9847,0.0723824209875661
2MASS.Ks,21637.9,1250.0,-12.2446,0.10355440404112978
Johnson.K,21900.2,2700.0,-12.4437,0.5416296192906774
WISE.W1,33500.1,3300.0,-12.6105,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.5963,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.8121,0.04
WISE.W2,46000.2,5200.0,-13.1899,0.04
WISE.W3,115598,27550.0,-13.4159,0.04
