sed_filter,la,width,flux,eflux
Cousins.U,3500.2,319.0,-10.1785,0.04
SDSS.u,3519.02,277.0,-10.0979,0.04
Johnson.U,3531,309.0,-10.1897,0.04
Cousins.B,4359.98,464.0,-10.2478,0.04
Johnson.B,4442.03,445.0,-10.1215,0.04
SDSS.g,4819.97,622.0,-10.355,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.3998,0.04
Cousins.V,5469.67,421.0,-10.4852,0.04
Johnson.V,5537.05,409.0,-10.3811,0.04
GAIA.GAIA3.G,5822.34,2026.0,-10.5463,0.04
SDSS.r,6246.98,631.0,-10.5592,0.04
Cousins.R,6468.99,648.0,-10.6474,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.8009,0.04
SDSS.i,7634.91,645.0,-10.7879,0.04
Cousins.I,7885.95,475.0,-10.8723,0.04
SDSS.z,9017.94,663.0,-10.9745,0.04
2MASS.J,12390.2,750.0,-11.2433,0.04
Johnson.J,12500.2,1500.0,-11.3529,0.04
Johnson.H,16300.2,1000.0,-11.6598,0.04
2MASS.H,16494.8,1200.0,-11.5101,0.04
2MASS.Ks,21637.9,1250.0,-11.9013,0.04
Johnson.K,21900.2,2700.0,-12.0324,0.04
WISE.W1,33500.1,3300.0,-12.2196,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.4329,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.7396,0.04
WISE.W2,46000.2,5200.0,-12.6821,0.04
WISE.W3,115598,27550.0,-13.2961,0.04
