sed_filter,la,width,flux,eflux
XMM-OT.UVW1,2908.07,577.0,-9.99291,0.04
Johnson.U,3531,309.0,-10.1669,0.04
Cousins.B,4359.98,464.0,-10.2756,0.04
Johnson.B,4442.03,445.0,-9.79785,0.04
SDSS.g,4819.97,622.0,-10.3447,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.3326,0.04
Cousins.V,5469.67,421.0,-10.4653,0.04
Johnson.V,5537.05,409.0,-10.2453,0.049633659808685
GAIA.GAIA3.G,5822.34,2026.0,-10.5583,0.04
SDSS.r,6246.98,631.0,-10.5502,0.04
Cousins.R,6468.99,648.0,-10.5944,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.672,0.04
SDSS.i,7634.91,645.0,-10.7202,0.04
Cousins.I,7885.95,475.0,-10.881,0.04
SDSS.z,9017.94,663.0,-10.7648,0.04
2MASS.J,12390.2,750.0,-11.0208,0.04
Johnson.J,12500.2,1500.0,-11.0213,0.04
Johnson.H,16300.2,1000.0,-11.3498,0.04110605948097834
2MASS.H,16494.8,1200.0,-11.3256,0.04
2MASS.Ks,21637.9,1250.0,-11.6543,0.04
Johnson.K,21900.2,2700.0,-11.6568,0.04
WISE.W1,33500.1,3300.0,-11.878,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.2938,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.5629,0.04
WISE.W2,46000.2,5200.0,-12.2823,0.04
WISE.W3,115598,27550.0,-12.4656,0.04
