sed_filter,la,width,flux,eflux
Johnson.U,3531,309.0,-12.1463,0.05112384278784752
Johnson.B,4442.03,445.0,-11.8966,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.9199,0.04
Johnson.V,5537.05,409.0,-11.9611,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.9982,0.04
SDSS.r,6246.98,631.0,-11.8923,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-12.0434,0.04
SDSS.i,7634.91,645.0,-11.9682,0.04
Cousins.I,7885.95,475.0,-12.0508,0.04
SDSS.z,9017.94,663.0,-12.0219,0.04
2MASS.J,12390.2,750.0,-12.2097,0.04257789150818986
Johnson.J,12500.2,1500.0,-12.3529,0.04
Johnson.H,16300.2,1000.0,-12.571,0.04
Johnson.K,21900.2,2700.0,-12.8845,0.07655978702563727
WISE.W1,33500.1,3300.0,-12.5934,0.04
WISE.W2,46000.2,5200.0,-12.9504,0.04
