ID,Type,RA,Decl,I,V,V_I,P,T0,A,Ecc,Incl,Peri,Model,loc,sed_dist,sed_av,sed_av_err,sed_radius,sed_radius_err,sed_teff,sed_teff_err,sed_logg,sed_logg_err,sed_feh,sed_irslope,sed_chi2oN,Av_median,Av_minus_two_sigma,Av_plus_two_sigma,sed_L
OGLE-LMC-HB-0011,RG,04:50:16.44,-70:10:39.3,15.591,17.2,1.609,438.74,9331.0,0.025,0.282,89.8,122.3,1,LMC,49970.0,0.47847601424987973,0.38506898204604945,62.56390121221521,1.6484038389024167,4141.560404724273,200.5098049498785,2.000004410837395,1.2379741343126767,-0.7,-0.004349631048211644,2.0496418636684246,0.30375,0.05175000000000002,0.47925000000000006,1045.4961256192355
OGLE-LMC-HB-0012,RG,04:50:45.27,-70:05:53.3,15.371,16.882,1.511,435.49,9405.3,0.041,0.296,54.8,18.8,0,LMC,49970.0,0.5399999999999999,0.35215692203757304,60.59082248853461,1.7553995620156932,4366.289683814855,222.62995481536072,2.0464999999999995,1.0870229939014466,-0.7,0.005977156252499166,1.8488409664107692,0.28800000000000003,0.013500000000000012,0.54,1211.3863169243102
OGLE-LMC-HB-0013,RG,04:50:47.35,-70:16:32.2,15.999,17.499,1.5,324.538,9182.4,0.048,0.452,76.3,59.6,1,LMC,49970.0,0.5917499999995116,0.3655227189754306,43.239942055315026,1.2656172694058954,4397.037720773456,230.76743939261505,2.261099999999399,1.1007610650200372,-0.7,0.0010275832506906415,1.4036877983958287,0.33975,0.16424999999999998,0.59175,634.4972682505733
OGLE-LMC-HB-0014,RG,04:50:56.55,-69:25:36.2,14.497,15.726,1.229,359.11,9253.1,0.041,0.26,39.03,161.7,1,LMC,49970.0,0.5489999999999998,0.4534100295116392,68.9348116384185,2.7367851783494213,5066.374111060739,431.4772682207008,2.0328999999999997,1.3953876855246152,-0.7,0.009406233296261408,7.229156880188168,0.3105,0.03600000000000003,0.5489999999999999,2842.3986910141643
OGLE-LMC-HB-0015,RG,04:51:21.68,-67:13:16.2,15.238,16.618,1.38,311.75,9257.2,0.028,0.191,66.0,47.3,1,LMC,49970.0,0.3919767452202391,0.3503409151753019,57.80981580975752,1.6718369702223677,4404.505501867938,221.21645172759156,2.0802999999999994,1.0836481786525358,-0.7,0.002008155067354609,1.7171227163787872,0.21825,0.0,0.52875,1141.8540152404514
OGLE-LMC-HB-0016,RG,04:51:51.22,-69:43:14.1,15.207,16.232,1.025,128.69,9086.4,0.023,0.2,76.8,32.7,1,LMC,49970.0,0.5666747956253154,0.48956469109865447,40.537159884896795,1.6618762319289149,5256.269699193588,517.1259302772856,2.388199999999997,0.8311790364019944,-0.7,0.006307500693418194,3.7353270954430116,0.41625,0.06975,0.9157500000000001,1138.7699113054948
OGLE-LMC-HB-0017,MS,04:51:55.92,-69:23:34.4,16.258,16.17,-0.088,19.72612,9004.111,0.093,0.176,17.31,9.4,1,LMC,49970.0,0.2995832848703836,0.11106021426384685,4.974671378383432,0.29294232615542265,25999.999867115483,4342.332757462488,0.17093926643475715,225448.8595825624,-0.7,0.1306070776857296,2.4071358675049024,0.3015,0.009000000000000008,0.675,10266.938529005907
OGLE-LMC-HB-0018,RG,04:52:05.62,-66:48:36.0,14.975,16.558,1.583,577.86,9165.2,0.052,0.3787,53.1,173.4,1,LMC,49970.0,0.5637328118827933,0.3516341921455928,75.80052100672194,2.2856654237560248,4200.5380266790935,190.46581274768036,0.8123528502435112,0.4667223674150398,-0.7,0.01271680981634516,1.1187659101709695,0.23399999999999999,0.0,0.5985,1623.988123474441
OGLE-LMC-HB-0019,RG,04:52:13.16,-69:33:03.2,15.487,17.067,1.58,547.52,9326.2,0.022,0.447,60.1,102.2,1,LMC,49970.0,0.6682499999907104,0.37250961610707267,59.37551678002959,1.874167611899374,4302.308052407012,239.92455751678654,1.9619883071390536,0.72893918767054,-0.7,0.009626474189147468,1.7965837263344009,0.34425,0.051749999999999984,0.66825,1096.5781888529448
OGLE-LMC-HB-0020,RG,04:52:23.88,-68:21:54.5,12.874,14.222,1.348,415.377,9386.91,0.263,0.0191,12.7,45.88,0,LMC,49970.0,0.59625,0.39932219547843356,144.43752642629877,5.253019400720307,4857.3361496585785,340.7462102716509,1.5407999999999997,0.9990878623270056,-0.7,0.06658699597014127,6.832029579429818,0.24075,0.0,0.5962500000000001,10543.177253505162
OGLE-LMC-HB-0021,RG,04:52:34.35,-68:50:33.6,15.204,16.891,1.687,402.65,9126.1,0.021,0.131,43.3,171.5,1,LMC,49970.0,0.6839999999999903,0.39517590108789974,69.87241282245351,2.160174590663249,4171.252006912401,209.3653396518002,0.6232615210536095,0.5113184228699829,-0.7,0.00956823906472197,1.0599499747183778,0.3465,0.09449999999999999,0.6839999999999999,1341.8253125487195
OGLE-LMC-HB-0022,RG,04:53:26.93,-66:33:57.6,15.025,16.777,1.752,370.7,9249.8,0.085,0.2967,54.2,100.2,1,LMC,49970.0,0.5602499999999999,0.399788466416355,78.24439705832387,2.2390522329258222,4070.6717687914884,213.27726893474932,1.8505999999999998,0.8347370210521085,-0.7,0.0012097213045127449,2.296340933988437,0.20925,0.0,0.56025,1526.123297834245
OGLE-LMC-HB-0023,RG,04:54:02.31,-68:07:15.7,16.226,17.718,1.492,237.91,9078.9,0.026,0.193,73.6,104.8,1,LMC,49970.0,0.3329411051312711,0.46719391144918404,40.85358686643844,1.197514737213186,4226.939856097646,243.19259657705476,1.9592227192107707,0.863239368895707,-0.7,-0.004304424092948108,1.6216608842181417,0.279,0.04500000000000001,0.567,483.70819360198556
OGLE-LMC-HB-0024,RG,04:54:43.85,-69:04:56.8,15.598,17.149,1.551,222.295,9039.1,0.035,0.289,44.9,144.9,1,LMC,49970.0,0.6479999999999858,0.334133295709897,52.57116619947654,1.535133815740793,4300.692020454058,204.9870714482735,0.16631647523594045,0.38491624310829137,-0.7,0.009513151442694965,5.948032370109183,0.3015,0.04500000000000001,0.6480000000000001,858.3558665317018
OGLE-LMC-HB-0025,RG,04:54:45.50,-66:21:12.6,14.43,16.162,1.732,578.54,9125.9,0.057,0.371,74.6,75.6,1,LMC,49970.0,0.615348642560213,0.3559323029834687,98.13197971104293,2.953987679588307,4157.38749883552,192.25819476623522,0.5867701522768138,0.4564453141037766,-0.7,0.0029952647106048207,2.2512694576741366,0.32849999999999996,0.0,0.9585000000000001,2611.6918197882446
OGLE-LMC-HB-0026,RG,04:54:55.57,-70:45:26.6,13.916,15.416,1.5,700.0,9470.9,0.021,0.407,45.5,17.3,0,LMC,49970.0,0.6097499999999991,0.333158023683229,118.01598815249054,3.459224531973556,4452.327009321404,211.09371283843487,1.6312999999999998,0.7006913129559892,-0.7,0.00024470769765532635,2.3638291475764937,0.27225,0.04275000000000001,0.60975,4968.767740051781
OGLE-LMC-HB-0027,MS,04:54:58.19,-67:38:02.0,16.177,16.108,-0.069,6.451445,9004.756,0.028,0.328,48.2,59.9,0,LMC,49970.0,0.009000000000715097,0.15161067133146033,7.168909570893296,0.3949912072463563,14144.974432456662,1885.6828189921239,1.9838387863311544,295292.79031821375,-0.7,-0.01852696324049149,1.3160894699442465,0.23399999999999999,0.008999999999999977,0.46799999999999997,1867.8141294057434
