sed_filter,la,width,flux,eflux
XMM-OT.UVW2,2118.97,324.0,-11.2991,0.04
XMM-OT.UVW1,2908.07,577.0,-11.0569,0.04
Cousins.U,3500.2,319.0,-11.0142,0.04
SDSS.u,3519.02,277.0,-10.9977,0.04
Johnson.U,3531,309.0,-10.9919,0.04
Cousins.B,4359.98,464.0,-10.9122,0.04
Johnson.B,4442.03,445.0,-11.0568,0.04
SDSS.g,4819.97,622.0,-11.0159,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.0434,0.04
Cousins.V,5469.67,421.0,-11.0708,0.04
Johnson.V,5537.05,409.0,-11.1873,0.06152504835021362
GAIA.GAIA3.G,5822.34,2026.0,-11.1122,0.04
SDSS.r,6246.98,631.0,-11.1202,0.04
Cousins.R,6468.99,648.0,-11.1493,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.2498,0.04
SDSS.i,7634.91,645.0,-11.2724,0.04
Cousins.I,7885.95,475.0,-11.2353,0.04
SDSS.z,9017.94,663.0,-11.3991,0.04
2MASS.J,12390.2,750.0,-11.5556,0.04
Johnson.J,12500.2,1500.0,-11.567,0.04
Johnson.H,16300.2,1000.0,-11.8422,0.04
2MASS.H,16494.8,1200.0,-11.7882,0.04
2MASS.Ks,21637.9,1250.0,-12.0317,0.04
Johnson.K,21900.2,2700.0,-12.1085,0.04
WISE.W1,33500.1,3300.0,-12.5726,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.5562,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.7743,0.04
WISE.W2,46000.2,5200.0,-12.9355,0.04
