sed_filter,la,width,flux,eflux
XMM-OT.UVW1,2908.07,577.0,-12.7827,0.05157246972601115
Johnson.U,3531,309.0,-12.4723,0.04
Johnson.B,4442.03,445.0,-12.0989,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-12.0699,0.04
Johnson.V,5537.05,409.0,-12.036,0.04
GAIA.GAIA3.G,5822.34,2026.0,-12.063,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-12.0871,0.04
Cousins.I,7885.95,475.0,-12.1552,0.04
2MASS.J,12390.2,750.0,-12.3196,0.05922197240479165
Johnson.J,12500.2,1500.0,-12.2816,0.04
Johnson.H,16300.2,1000.0,-12.4659,0.04
2MASS.H,16494.8,1200.0,-12.3903,0.06591970047979254
2MASS.Ks,21637.9,1250.0,-12.5362,0.09926731498576094
Johnson.K,21900.2,2700.0,-12.7992,0.05615876579284469
WISE.W1,33500.1,3300.0,-13.3519,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-13.2149,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-13.5737,0.04
WISE.W2,46000.2,5200.0,-13.7915,0.05428681023790647
