sed_filter,la,width,flux,eflux
Johnson.U,3531,309.0,-12.0142,0.04190560975329131
Cousins.B,4359.98,464.0,-11.4594,0.04
Johnson.B,4442.03,445.0,-11.9179,0.07278678493756968
SDSS.g,4819.97,622.0,-11.302,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.1799,0.04
Cousins.V,5469.67,421.0,-11.0998,0.04
Johnson.V,5537.05,409.0,-11.1081,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.005,0.04
SDSS.r,6246.98,631.0,-10.9844,0.04
Cousins.R,6468.99,648.0,-10.9667,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.9,0.04
SDSS.i,7634.91,645.0,-10.7943,0.04
Cousins.I,7885.95,475.0,-10.8625,0.04
2MASS.J,12390.2,750.0,-10.8823,0.04
Johnson.J,12500.2,1500.0,-10.8821,0.04
Johnson.H,16300.2,1000.0,-10.9139,0.04
2MASS.H,16494.8,1200.0,-10.901,0.04
2MASS.Ks,21637.9,1250.0,-11.1483,0.04
Johnson.K,21900.2,2700.0,-11.1638,0.04
WISE.W1,33500.1,3300.0,-11.6608,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-11.6669,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.0358,0.04
WISE.W2,46000.2,5200.0,-12.1252,0.04
WISE.W3,115598,27550.0,-13.1645,0.04
