sed_filter,la,width,flux,eflux
Cousins.U,3500.2,319.0,-10.8218,0.04
SDSS.u,3519.02,277.0,-10.8709,0.04
Johnson.U,3531,309.0,-10.8086,0.04
Cousins.B,4359.98,464.0,-10.8682,0.04
Johnson.B,4442.03,445.0,-12.1835,0.05411908999567351
SDSS.g,4819.97,622.0,-10.884,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.0025,0.04
Cousins.V,5469.67,421.0,-11.0764,0.04
Johnson.V,5537.05,409.0,-11.0437,0.1638356471923947
GAIA.GAIA3.G,5822.34,2026.0,-11.136,0.04
SDSS.r,6246.98,631.0,-10.9478,0.04
Cousins.R,6468.99,648.0,-11.2302,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.384,0.04
SDSS.i,7634.91,645.0,-11.0276,0.04
Cousins.I,7885.95,475.0,-11.3747,0.04
SDSS.z,9017.94,663.0,-11.5079,0.04
2MASS.J,12390.2,750.0,-11.7662,0.04
Johnson.J,12500.2,1500.0,-11.7616,0.04
Johnson.H,16300.2,1000.0,-11.9225,0.05345162487950491
2MASS.H,16494.8,1200.0,-11.9236,0.05362477557798334
2MASS.Ks,21637.9,1250.0,-12.2219,0.07622720276952048
Johnson.K,21900.2,2700.0,-12.5918,0.04
WISE.W1,33500.1,3300.0,-12.6538,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-13.0522,0.06204206315338494
Spitzer.IRAC.4.5,44930.2,5100.0,-13.3826,0.07413077368795043
WISE.W2,46000.2,5200.0,-13.129,0.04
