sed_filter,la,width,flux,eflux
Cousins.B,4359.98,464.0,-11.9613,0.04
Johnson.B,4442.03,445.0,-11.7129,0.04
SDSS.g,4819.97,622.0,-11.5444,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.5002,0.04
Cousins.V,5469.67,421.0,-11.2721,0.04
Johnson.V,5537.05,409.0,-11.1661,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.1811,0.04
SDSS.r,6246.98,631.0,-11.247,0.04
Cousins.R,6468.99,648.0,-11.0739,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.9969,0.04
SDSS.i,7634.91,645.0,-10.9927,0.04
Cousins.I,7885.95,475.0,-11.0186,0.04
SDSS.z,9017.94,663.0,-10.9196,0.04
2MASS.J,12390.2,750.0,-10.7902,0.04
Johnson.J,12500.2,1500.0,-10.8333,0.04
Johnson.H,16300.2,1000.0,-10.7816,0.04
2MASS.H,16494.8,1200.0,-10.7592,0.04
2MASS.Ks,21637.9,1250.0,-11.0011,0.04
Johnson.K,21900.2,2700.0,-11.0136,0.04
WISE.W1,33500.1,3300.0,-11.444,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-11.5419,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-11.9062,0.04
WISE.W2,46000.2,5200.0,-11.8981,0.04
WISE.W3,115598,27550.0,-12.8051,0.04
