sed_filter,la,width,flux,eflux
Cousins.U,3500.2,319.0,-9.99909,0.04
SDSS.u,3519.02,277.0,-10.0014,0.04
Johnson.U,3531,309.0,-10.0499,0.04
Cousins.B,4359.98,464.0,-10.102,0.04
Johnson.B,4442.03,445.0,-10.1622,0.04
SDSS.g,4819.97,622.0,-10.1976,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.243,0.04
Cousins.V,5469.67,421.0,-10.3216,0.04
Johnson.V,5537.05,409.0,-10.3634,0.04
GAIA.GAIA3.G,5822.34,2026.0,-10.3777,0.04
SDSS.r,6246.98,631.0,-10.4168,0.04
Cousins.R,6468.99,648.0,-10.4791,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.644,0.04
SDSS.i,7634.91,645.0,-10.6509,0.04
Cousins.I,7885.95,475.0,-10.7786,0.04
SDSS.z,9017.94,663.0,-10.8666,0.04
2MASS.J,12390.2,750.0,-11.1435,0.04
Johnson.J,12500.2,1500.0,-11.1698,0.04
Johnson.H,16300.2,1000.0,-11.4498,0.04050414872847168
2MASS.H,16494.8,1200.0,-11.4618,0.04
2MASS.Ks,21637.9,1250.0,-11.7828,0.04014486816368815
Johnson.K,21900.2,2700.0,-11.9162,0.12401411678455813
WISE.W1,33500.1,3300.0,-12.3424,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.3985,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.7178,0.04
WISE.W2,46000.2,5200.0,-12.6648,0.04
