sed_filter,la,width,flux,eflux
Johnson.U,3531,309.0,-12.3355,0.04231177616537671
Johnson.B,4442.03,445.0,-11.9277,0.0719688055595704
SDSS.g,4819.97,622.0,-11.5956,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.6702,0.04
Johnson.V,5537.05,409.0,-11.5944,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.5152,0.04
SDSS.r,6246.98,631.0,-11.4409,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.4188,0.04
SDSS.i,7634.91,645.0,-11.3889,0.04
Cousins.I,7885.95,475.0,-11.461,0.04
SDSS.z,9017.94,663.0,-11.4252,0.04
2MASS.J,12390.2,750.0,-11.1084,0.04
Johnson.J,12500.2,1500.0,-11.1042,0.04
Johnson.H,16300.2,1000.0,-11.4194,0.04
2MASS.H,16494.8,1200.0,-11.4687,0.04
2MASS.Ks,21637.9,1250.0,-11.4468,0.04
Johnson.K,21900.2,2700.0,-11.7702,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.2824,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.5847,0.04
