# Date:     2023-05-07 18:47:20
# Database: ocvs
# Target:   all_hb
# Query:    P>=0 
# Objects:  991
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P	T0	A	Ecc	Incl	Peri	Model
OGLE-BLG-HB-0040	RG	17:43:21.27	-24:31:08.6	14.096	17.262	3.166	319.39900000	9233.5000	0.041	0.1578	77.70	29.70	1
OGLE-BLG-HB-0041	RG	17:43:22.57	-23:34:56.4	12.994	15.717	2.723	332.86500000	9328.0000	0.039	0.0781	89.90	90.00	1
OGLE-BLG-HB-0042	RG	17:43:27.00	-33:39:58.4	15.411	21.637	6.226	546.12100000	9528.6600	0.120	0.1633	47.80	68.02	1
OGLE-BLG-HB-0043	RG	17:43:30.65	-34:24:16.6	14.102	17.597	3.495	232.71200000	9062.1600	0.034	0.2009	89.80	87.60	1
OGLE-BLG-HB-0044	RG	17:43:42.40	-34:16:51.8	14.633	17.705	3.072	252.48400000	9056.3600	0.059	0.2670	71.60	58.86	1
OGLE-BLG-HB-0045	RG	17:43:42.62	-25:09:09.2	15.047	18.851	3.804	517.51000000	9360.4800	0.057	0.4501	64.30	114.50	1
OGLE-BLG-HB-0046	RG	17:44:08.64	-34:07:01.6	14.565	17.047	2.482	212.85100000	9167.9000	0.017	0.1225	90.00	21.40	1
OGLE-BLG-HB-0047	RG	17:44:11.15	-34:29:53.0	15.140	17.632	2.492	203.35100000	9016.9500	0.025	0.2683	89.60	122.20	1
OGLE-BLG-HB-0048	RG	17:44:19.31	-22:56:50.7	16.639	18.129	1.490	90.28530000	9029.7390	0.246	0.3485	32.64	23.09	1
OGLE-BLG-HB-0049	RG	17:44:27.20	-34:11:40.2	13.852	16.553	2.701	258.62100000	9097.4000	0.028	0.1477	78.00	20.20	1
OGLE-BLG-HB-0050	RG	17:44:29.13	-34:18:52.3	14.072	17.368	3.296	308.59700000	9028.0000	0.035	0.0768	55.90	48.10	1
OGLE-BLG-HB-0051	RG	17:44:29.35	-34:43:51.9	15.116	18.150	3.034	126.16000000	9029.8200	0.022	0.0957	70.00	88.90	1
