# Date:     2023-05-07 18:47:20
# Database: ocvs
# Target:   all_hb
# Query:    P>=0 
# Objects:  991
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P	T0	A	Ecc	Incl	Peri	Model
OGLE-BLG-HB-0172	RG	17:52:59.07	-31:51:30.8	13.758	16.325	2.567	36.82270000	9023.0800	0.025	0.2238	69.10	128.00	1
OGLE-BLG-HB-0173	RG	17:53:02.03	-34:16:33.3	14.031	17.335	3.304	261.67400000	9214.2000	0.035	0.1125	67.80	62.50	1
OGLE-BLG-HB-0174	RG	17:53:04.22	-30:03:44.3	13.760	16.869	3.109	314.92200000	9090.2000	0.024	0.1153	51.57	178.42	1
OGLE-BLG-HB-0175	RG	17:53:05.18	-29:13:00.6	14.643	18.300	3.657	185.14100000	9131.4900	0.024	0.1036	89.60	168.90	1
OGLE-BLG-HB-0176	RG	17:53:15.50	-31:26:20.0	14.504	17.745	3.241	340.15500000	9241.1800	0.045	0.1308	89.70	135.18	1
OGLE-BLG-HB-0177	RG	17:53:20.33	-31:34:31.6	15.320	19.086	3.766	350.96200000	9047.1000	0.028	0.1124	58.50	16.70	1
OGLE-BLG-HB-0178	RG	17:53:20.65	-29:50:06.3	14.182	18.240	4.058	370.30100000	9046.5500	0.038	0.1835	89.70	157.83	1
OGLE-BLG-HB-0179	RG	17:53:22.75	-33:52:03.3	14.105	16.941	2.836	214.00100000	9060.7000	0.029	0.0573	46.70	41.80	1
OGLE-BLG-HB-0180	RG	17:53:23.62	-33:42:44.8	13.899	16.552	2.653	288.25800000	9079.3000	0.019	0.1532	63.00	85.20	1
OGLE-BLG-HB-0181	RG	17:53:23.71	-33:02:07.7	14.083	16.536	2.453	301.24500000	9177.1000	0.020	0.3363	89.80	92.50	1
OGLE-BLG-HB-0182	RG	17:53:26.74	-30:07:11.2	14.824	18.084	3.260	349.88800000	9276.6300	0.079	0.2690	71.04	84.61	1
OGLE-BLG-HB-0183	RG	17:53:32.85	-28:58:23.4	15.179	19.122	3.943	199.26700000	9182.3600	0.024	0.1191	65.90	157.10	1
OGLE-BLG-HB-0184	RG	17:53:34.40	-30:55:56.9	13.932	16.925	2.993	264.31000000	9089.7400	0.050	0.3066	47.36	33.43	1
OGLE-BLG-HB-0185	RG	17:53:34.75	-32:58:48.4	14.617	17.010	2.393	168.74400000	9017.3900	0.021	0.1926	69.70	62.80	1
OGLE-BLG-HB-0186	RG	17:53:37.50	-30:06:05.8	14.476	17.133	2.657	136.09000000	9081.1000	0.019	0.2955	89.90	82.50	1
OGLE-BLG-HB-0187	RG	17:53:39.44	-33:30:17.4	13.765	17.365	3.600	314.81500000	9154.3000	0.027	0.1183	50.20	115.40	1
OGLE-BLG-HB-0188	RG	17:53:40.15	-29:55:43.9	14.061	17.313	3.252	363.20200000	9297.6700	0.048	0.4559	90.00	74.14	1
OGLE-BLG-HB-0189	RG	17:53:40.26	-33:34:13.6	14.085	16.748	2.663	208.11900000	9138.3500	0.037	0.1384	89.50	66.60	1
OGLE-BLG-HB-0190	RG	17:53:40.55	-33:20:55.1	14.135	17.397	3.262	323.25100000	9009.2000	0.020	0.3118	61.40	126.30	1
OGLE-BLG-HB-0191	RG	17:53:41.29	-28:28:29.0	15.216	19.759	4.543	354.56500000	9248.9500	0.063	0.3374	89.70	109.63	1
OGLE-BLG-HB-0192	RG	17:53:49.06	-33:50:21.5	14.223	16.676	2.453	284.82000000	9055.7000	0.023	0.2750	49.40	178.40	1
OGLE-BLG-HB-0193	RG	17:53:49.39	-31:26:50.0	13.286	17.169	3.883	394.06200000	9049.4100	0.104	0.1205	89.90	128.92	0
OGLE-BLG-HB-0194	RG	17:53:50.92	-31:44:37.5	14.212	17.020	2.808	272.57500000	9051.7000	0.026	0.1901	60.30	69.00	1
OGLE-BLG-HB-0195	RG	17:53:53.47	-30:31:07.0	13.781	16.514	2.733	289.40500000	9083.3400	0.023	0.2321	82.10	163.37	1
OGLE-BLG-HB-0196	RG	17:53:54.39	-29:01:16.2	14.317	18.115	3.798	332.65900000	9081.2100	0.054	0.1870	75.60	113.23	1
OGLE-BLG-HB-0197	RG	17:53:56.70	-33:04:14.4	15.394	17.710	2.316	55.31580000	9019.5000	0.028	0.2578	62.00	33.20	1
OGLE-BLG-HB-0198	RG	17:53:58.37	-29:20:47.3	14.874	18.144	3.270	225.29700000	9119.1100	0.027	0.2236	59.97	27.30	1
OGLE-BLG-HB-0199	RG	17:54:00.69	-29:40:10.2	14.761	18.066	3.305	127.46150000	9021.5700	0.037	0.2536	90.00	71.89	1
OGLE-BLG-HB-0200	RG	17:54:03.48	-30:05:44.8	14.535	17.520	2.985	236.02330000	9183.9900	0.042	0.1069	52.17	52.78	1
OGLE-BLG-HB-0201	RG	17:54:03.66	-29:42:46.8	14.269	16.514	2.245	172.58600000	9061.9700	0.019	0.1338	63.00	12.37	1
OGLE-BLG-HB-0202	RG	17:54:05.40	-32:02:08.6	14.658	17.515	2.857	210.26700000	9034.1000	0.021	0.1485	65.90	58.50	1
OGLE-BLG-HB-0203	RG	17:54:06.78	-31:57:28.9	13.777	16.383	2.606	205.23500000	9130.7700	0.023	0.2845	44.99	40.20	1
OGLE-BLG-HB-0204	RG	17:54:07.47	-30:27:45.4	14.312	17.834	3.522	378.07000000	9125.3300	0.035	0.2827	89.60	138.03	1
OGLE-BLG-HB-0205	RG	17:54:07.93	-31:18:11.9	13.561	16.649	3.088	393.40400000	9326.0700	0.059	0.3974	68.24	121.96	1
OGLE-BLG-HB-0206	RG	17:54:08.00	-29:24:24.5	14.237	17.059	2.822	167.72760000	9042.1100	0.055	0.1030	89.80	46.68	1
OGLE-BLG-HB-0207	RG	17:54:08.40	-31:44:04.7	13.753	16.604	2.851	254.94200000	9187.8000	0.021	0.2615	90.00	66.20	1
OGLE-BLG-HB-0208	RG	17:54:08.61	-33:42:34.6	14.039	17.691	3.652	320.74200000	9211.2500	0.047	0.2102	74.50	48.25	1
OGLE-BLG-HB-0209	RG	17:54:09.89	-29:07:36.9	14.001	17.040	3.039	446.86700000	9251.9500	0.030	0.4953	60.38	61.27	1
OGLE-BLG-HB-0210	RG	17:54:13.35	-31:37:07.4	14.319	18.153	3.834	252.35200000	9129.3700	0.028	0.2349	89.90	113.12	1
OGLE-BLG-HB-0211	RG	17:54:13.81	-32:01:23.9	14.701	17.548	2.847	205.25800000	9104.6000	0.022	0.1350	75.20	62.70	1
OGLE-BLG-HB-0212	RG	17:54:14.57	-29:02:32.4	14.129	17.290	3.161	327.06200000	9247.2300	0.053	0.4989	62.09	41.81	1
OGLE-BLG-HB-0213	RG	17:54:16.21	-32:10:07.3	15.083	18.063	2.980	140.94900000	9124.7500	0.020	0.2119	89.70	89.90	1
OGLE-BLG-HB-0214	RG	17:54:18.67	-33:19:47.7	14.145	16.945	2.800	296.02200000	9094.9200	0.033	0.3064	89.40	21.50	1
OGLE-BLG-HB-0215	RG	17:54:19.01	-30:31:04.3	13.696	17.064	3.368	277.53510000	9066.9200	0.092	0.2847	55.34	24.72	1
OGLE-BLG-HB-0216	RG	17:54:20.01	-29:10:59.9	14.157	17.406	3.249	228.09200000	9025.8700	0.051	0.2638	64.77	119.99	1
OGLE-BLG-HB-0217	RG	17:54:20.42	-29:52:05.3	14.495	16.616	2.121	333.41400000	9114.9900	0.050	0.4979	62.12	99.76	1
OGLE-BLG-HB-0218	RG	17:54:20.55	-31:57:42.6	13.459	16.584	3.125	252.45900000	9102.0900	0.055	0.3139	61.81	1.07	0
OGLE-BLG-HB-0219	RG	17:54:22.15	-32:20:50.1	14.531	17.197	2.666	376.09000000	9234.7000	0.028	0.4942	89.80	29.00	1
OGLE-BLG-HB-0220	RG	17:54:24.34	-32:11:46.5	15.201	18.334	3.133	118.58800000	9048.0100	0.018	0.1479	65.30	20.10	1
OGLE-BLG-HB-0221	RG	17:54:28.93	-29:34:32.8	13.556	17.200	3.644	392.73400000	9183.5100	0.045	0.1903	82.20	163.53	1
OGLE-BLG-HB-0222	RG	17:54:31.62	-34:18:56.8	13.963	16.287	2.324	170.31200000	9120.6000	0.025	0.1323	56.90	49.90	1
OGLE-BLG-HB-0223	RG	17:54:34.36	-30:55:01.9	14.068	17.027	2.959	181.86220000	9063.0300	0.091	0.1278	65.15	11.08	1
OGLE-BLG-HB-0224	RG	17:54:35.38	-31:20:30.0	13.664	16.977	3.313	472.31000000	9432.1600	0.047	0.4545	54.87	120.06	1
OGLE-BLG-HB-0225	RG	17:54:39.22	-29:10:27.5	14.191	17.210	3.019	294.07700000	9066.8000	0.049	0.1927	65.16	58.11	1
OGLE-BLG-HB-0226	RG	17:54:39.38	-28:58:44.8	14.236	18.771	4.535	562.45000000	9377.2000	0.083	0.3761	89.30	56.40	1
OGLE-BLG-HB-0227	RG	17:54:48.20	-30:34:04.6	15.372	18.679	3.307	209.41400000	9051.8900	0.030	0.1377	90.00	129.92	1
OGLE-BLG-HB-0228	RG	17:54:49.06	-32:42:05.3	14.528	17.733	3.205	247.14700000	9156.9000	0.027	0.1544	67.10	166.10	1
OGLE-BLG-HB-0229	RG	17:54:52.44	-31:26:05.7	14.086	16.867	2.781	205.99200000	9082.9500	0.021	0.2170	70.50	28.40	1
OGLE-BLG-HB-0230	RG	17:54:53.58	-29:11:58.1	13.003	16.832	3.829	409.66500000	9229.5600	0.066	0.1462	46.61	162.11	1
OGLE-BLG-HB-0231	RG	17:54:56.68	-31:37:11.2	14.023	16.456	2.433	201.91900000	9021.5000	0.021	0.1875	89.40	110.70	1
OGLE-BLG-HB-0232	RG	17:54:57.37	-30:22:20.5	14.420	18.203	3.783	329.40600000	9197.7700	0.054	0.2920	61.43	9.94	1
OGLE-BLG-HB-0233	RG	17:55:00.79	-29:47:38.1	14.697	17.878	3.181	458.56600000	9388.7500	0.058	0.1903	58.98	76.86	1
OGLE-BLG-HB-0234	RG	17:55:02.12	-32:03:26.3	14.745	17.406	2.661	565.25000000	9536.5000	0.032	0.4413	57.44	55.70	1
OGLE-BLG-HB-0235	RG	17:55:08.04	-31:13:22.6	14.353	17.622	3.269	263.74000000	9047.9500	0.027	0.2216	57.20	5.30	1
OGLE-BLG-HB-0236	RG	17:55:10.79	-29:02:51.7	14.596	17.807	3.211	222.86600000	9059.7400	0.048	0.1141	63.00	136.06	1
OGLE-BLG-HB-0237	RG	17:55:13.94	-33:39:45.1	13.660	17.284	3.624	305.94680000	9202.2200	0.139	0.2949	51.81	175.30	1
OGLE-BLG-HB-0238	RG	17:55:15.69	-31:10:48.5	14.139	17.610	3.471	212.13500000	9086.8000	0.034	0.0726	89.90	53.10	1
OGLE-BLG-HB-0239	RG	17:55:18.55	-29:10:38.0	12.905	15.431	2.526	103.49150000	9057.6000	0.026	0.1323	77.80	55.35	1
OGLE-BLG-HB-0240	RG	17:55:20.18	-29:23:54.1	13.982	17.256	3.274	510.68100000	9190.0800	0.071	0.4201	61.43	35.66	1
OGLE-BLG-HB-0241	RG	17:55:24.21	-32:38:43.2	14.678	17.274	2.596	117.42300000	9066.7000	0.019	0.0908	48.20	178.90	1
OGLE-BLG-HB-0242	RG	17:55:29.99	-30:22:14.3	14.615	18.130	3.515	215.73600000	9088.2700	0.023	0.2558	89.80	171.45	1
OGLE-BLG-HB-0243	RG	17:55:30.25	-35:38:19.7	13.746	15.822	2.076	202.66700000	9022.9000	0.019	0.1450	56.20	67.50	1
OGLE-BLG-HB-0244	RG	17:55:36.13	-30:22:16.1	14.380	17.615	3.235	324.17600000	9075.0000	0.027	0.4908	74.20	101.20	1
OGLE-BLG-HB-0245	RG	17:55:38.06	-29:14:40.4	14.312	17.156	2.844	156.18710000	9059.0800	0.025	0.2626	89.90	25.03	0
OGLE-BLG-HB-0246	RG	17:55:40.29	-30:56:21.5	14.039	16.119	2.080	131.98600000	9038.2000	0.016	0.0913	89.00	153.10	1
OGLE-BLG-HB-0247	RG	17:55:43.21	-29:20:53.8	14.291	16.980	2.689	233.85600000	9107.2500	0.022	0.0856	33.06	133.19	1
OGLE-BLG-HB-0248	RG	17:55:43.31	-28:46:28.3	13.481	17.532	4.051	289.43800000	9252.9420	0.173	0.1132	90.00	46.21	0
OGLE-BLG-HB-0249	RG	17:55:45.31	-33:16:31.9	13.969	16.709	2.740	261.55800000	9124.6000	0.015	0.2635	60.40	73.60	1
OGLE-BLG-HB-0250	RG	17:55:45.61	-31:12:20.5	14.612	17.443	2.831	145.62600000	9085.8200	0.028	0.1546	82.70	44.90	1
OGLE-BLG-HB-0251	RG	17:55:46.88	-34:13:21.2	13.962	15.982	2.020	129.79000000	9028.6000	0.017	0.1024	62.80	8.20	1
OGLE-BLG-HB-0252	RG	17:55:50.32	-30:56:35.5	13.497	16.044	2.547	155.02500000	9059.5600	0.021	0.1954	90.00	165.42	1
OGLE-BLG-HB-0253	RG	17:55:55.41	-29:06:40.9	14.554	18.085	3.531	133.50960000	9001.2000	0.022	0.0652	89.80	57.40	1
OGLE-BLG-HB-0254	RG	17:55:55.71	-31:07:11.8	14.482	17.233	2.751	195.45400000	9193.9000	0.024	0.1174	89.40	47.40	1
OGLE-BLG-HB-0255	RG	17:55:57.08	-29:14:04.1	14.352	17.569	3.217	204.88280000	9061.6700	0.033	0.0788	77.80	154.50	1
OGLE-BLG-HB-0256	RG	17:55:57.32	-28:53:37.4	14.491	17.110	2.619	157.54500000	9104.6000	0.018	0.0999	89.50	117.70	1
OGLE-BLG-HB-0257	RG	17:55:59.92	-30:34:23.9	14.355	17.983	3.628	419.30000000	9295.6000	0.026	0.2492	61.55	146.64	1
OGLE-BLG-HB-0258	RG	17:56:01.65	-33:24:26.9	14.225	16.941	2.716	224.63700000	9173.4000	0.019	0.2855	45.88	80.20	1
OGLE-BLG-HB-0259	RG	17:56:08.04	-29:40:11.0	13.746	16.960	3.214	281.63200000	9118.3100	0.025	0.2908	53.44	12.30	1
OGLE-BLG-HB-0260	RG	17:56:08.90	-29:04:09.9	14.560	18.073	3.513	228.13500000	9209.9300	0.019	0.1526	63.80	144.45	1
OGLE-BLG-HB-0261	RG	17:56:09.69	-29:50:39.2	15.130	18.340	3.210	161.31600000	9137.9400	0.026	0.1599	89.90	97.90	1
OGLE-BLG-HB-0262	RG	17:56:09.77	-30:02:47.3	14.573	17.378	2.805	132.44490000	9035.5100	0.026	0.1155	89.40	34.90	1
OGLE-BLG-HB-0263	RG	17:56:12.68	-35:43:04.3	13.938	16.318	2.380	154.96700000	9002.0000	0.022	0.2730	89.10	94.20	1
OGLE-BLG-HB-0264	RG	17:56:17.29	-32:13:10.8	15.805	18.121	2.316	27.65471000	9014.5400	0.024	0.2474	88.40	82.30	1
OGLE-BLG-HB-0265	RG	17:56:17.84	-29:24:07.9	15.020	17.838	2.818	205.48630000	9031.5300	0.035	0.2545	89.93	104.70	1
OGLE-BLG-HB-0266	RG	17:56:19.78	-30:40:11.0	14.728	18.179	3.451	205.59600000	9087.8300	0.020	0.2265	53.33	111.30	1
OGLE-BLG-HB-0267	RG	17:56:20.95	-33:08:29.6	14.120	16.335	2.215	136.44400000	9021.3400	0.022	0.2168	75.30	130.40	1
OGLE-BLG-HB-0268	RG	17:56:25.54	-28:42:26.9	14.463	17.493	3.030	133.00010000	9115.9300	0.018	0.0906	74.10	147.70	1
OGLE-BLG-HB-0269	RG	17:56:29.12	-30:37:41.1	13.926	17.481	3.555	256.45000000	9007.4500	0.050	0.0883	64.70	147.32	1
OGLE-BLG-HB-0270	RG	17:56:40.16	-28:28:07.8	14.644	17.416	2.772	150.37900000	9112.6800	0.017	0.1335	89.50	43.90	1
OGLE-BLG-HB-0271	RG	17:56:41.70	-28:08:15.0	14.591	18.242	3.651	212.81600000	9011.9000	0.032	0.1316	80.00	97.50	1
OGLE-BLG-HB-0272	RG	17:56:43.52	-32:07:20.0	12.754	16.319	3.565	483.31000000	9368.1300	0.070	0.2288	57.80	7.55	1
OGLE-BLG-HB-0273	RG	17:56:46.67	-31:03:39.1	13.892	16.417	2.525	263.26800000	9215.8100	0.031	0.2042	68.00	70.23	1
OGLE-BLG-HB-0274	RG	17:56:47.63	-29:50:40.2	13.898	17.157	3.259	249.91300000	9236.1000	0.018	0.0983	42.48	165.80	1
OGLE-BLG-HB-0275	RG	17:56:49.08	-30:44:25.8	14.149	17.198	3.049	297.25000000	9021.8000	0.018	0.2329	90.00	69.30	1
OGLE-BLG-HB-0276	RG	17:57:00.23	-30:14:45.4	14.645	19.086	4.441	350.96800000	9231.9600	0.048	0.1570	58.78	165.27	1
OGLE-BLG-HB-0277	RG	17:57:00.56	-29:43:30.6	13.371	16.029	2.658	397.73600000	9001.5800	0.028	0.4532	50.68	91.41	1
OGLE-BLG-HB-0278	RG	17:57:03.38	-30:23:53.1	14.652	18.444	3.792	227.63000000	9129.6000	0.018	0.1324	63.80	118.00	1
OGLE-BLG-HB-0279	RG	17:57:04.54	-28:14:04.1	14.849	18.283	3.434	251.64900000	9055.6100	0.027	0.1360	63.10	50.70	1
OGLE-BLG-HB-0280	RG	17:57:05.90	-32:17:08.0	14.273	18.651	4.378	271.04230000	9209.6000	0.148	0.1707	89.99	88.11	0
OGLE-BLG-HB-0281	RG	17:57:07.13	-28:58:08.7	14.710	17.506	2.796	120.76620000	9015.4400	0.024	0.1104	46.67	33.14	1
OGLE-BLG-HB-0282	RG	17:57:09.03	-28:15:17.3	13.655	16.225	2.570	276.65200000	9142.2700	0.026	0.1354	54.98	174.50	1
OGLE-BLG-HB-0283	RG	17:57:11.64	-33:27:23.0	14.259	16.850	2.591	129.92730000	9084.2000	0.031	0.1261	89.20	71.70	1
OGLE-BLG-HB-0284	RG	17:57:13.04	-33:20:43.5	13.550	16.235	2.685	262.75100000	9188.0000	0.021	0.1771	69.10	156.60	1
OGLE-BLG-HB-0285	RG	17:57:15.40	-28:18:18.8	13.383	16.745	3.362	411.79000000	9367.3000	0.034	0.3230	62.40	120.30	1
OGLE-BLG-HB-0286	RG	17:57:16.49	-30:38:00.2	14.969	18.225	3.256	250.93200000	9233.2400	0.025	0.1769	74.80	99.92	1
OGLE-BLG-HB-0287	RG	17:57:16.94	-32:21:00.5	14.400	17.216	2.816	398.24500000	9052.5000	0.042	0.0892	55.30	22.90	1
OGLE-BLG-HB-0288	RG	17:57:17.41	-31:01:22.0	12.913	15.484	2.571	250.98900000	9006.7400	0.046	0.1128	70.50	86.83	1
OGLE-BLG-HB-0289	RG	17:57:18.03	-28:22:15.8	14.225	17.333	3.108	254.64600000	9190.3100	0.020	0.1818	89.80	175.21	1
OGLE-BLG-HB-0290	RG	17:57:19.01	-31:29:16.7	13.249	16.587	3.338	429.22100000	9129.2000	0.046	0.1067	89.90	63.30	1
OGLE-BLG-HB-0291	RG	17:57:21.79	-30:40:23.0	14.578	17.143	2.565	121.34300000	9076.5100	0.014	0.1907	62.50	138.10	1
OGLE-BLG-HB-0292	RG	17:57:24.58	-28:14:32.2	13.760	16.524	2.764	265.26100000	9063.6000	0.015	0.2059	60.60	167.40	1
OGLE-BLG-HB-0293	RG	17:57:34.39	-28:37:20.3	14.020	17.712	3.692	291.83400000	9033.6500	0.037	0.2047	54.37	98.22	1
OGLE-BLG-HB-0294	RG	17:57:35.28	-28:13:31.7	14.281	18.310	4.029	368.42500000	9148.8200	0.176	0.3027	89.99	49.64	1
OGLE-BLG-HB-0295	RG	17:57:37.68	-30:10:24.8	14.868	18.369	3.501	223.48400000	9051.9100	0.033	0.2073	90.00	156.94	1
OGLE-BLG-HB-0296	RG	17:57:39.15	-28:13:54.3	14.957	17.803	2.846	332.46300000	9022.7700	0.016	0.4879	73.80	13.70	0
OGLE-BLG-HB-0297	RG	17:57:39.70	-28:22:23.9	15.235	18.078	2.843	139.61680000	9005.1600	0.033	0.3042	89.80	62.76	1
OGLE-BLG-HB-0298	RG	17:57:39.96	-31:00:41.1	13.145	15.806	2.661	223.14170000	9193.8130	0.209	0.2544	89.99	134.06	0
OGLE-BLG-HB-0299	RG	17:57:49.33	-28:02:41.7	13.790	17.194	3.404	284.56900000	9068.8300	0.032	0.1789	47.66	125.29	1
OGLE-BLG-HB-0300	RG	17:57:56.66	-29:29:29.9	12.571	16.078	3.507	331.82200000	9294.2100	0.071	0.1030	89.80	73.32	1
OGLE-BLG-HB-0301	RG	17:58:01.16	-31:00:15.3	13.991	16.793	2.802	190.32000000	9036.7000	0.013	0.1267	89.50	25.00	1
OGLE-BLG-HB-0302	RG	17:58:01.94	-30:55:03.0	14.039	17.247	3.208	279.45500000	9039.1000	0.063	0.1086	62.44	142.98	1
OGLE-BLG-HB-0303	RG	17:58:03.91	-28:18:33.6	13.839	16.770	2.931	273.86000000	9039.0000	0.018	0.1390	69.00	122.40	1
OGLE-BLG-HB-0304	RG	17:58:04.08	-29:24:20.7	13.138	15.964	2.826	334.52700000	9011.4900	0.046	0.2980	59.85	174.23	1
OGLE-BLG-HB-0305	RG	17:58:05.30	-29:20:44.4	13.750	17.010	3.260	285.24400000	9069.3500	0.024	0.1633	80.70	101.54	1
OGLE-BLG-HB-0306	RG	17:58:05.51	-31:46:30.7	14.893	18.242	3.349	271.83700000	9214.8800	0.045	0.3119	68.80	179.24	1
OGLE-BLG-HB-0307	RG	17:58:07.73	-32:26:27.9	13.514	16.417	2.903	410.75700000	9388.4100	0.059	0.2830	71.00	112.10	1
OGLE-BLG-HB-0308	RG	17:58:10.09	-28:22:14.1	13.925	17.737	3.812	433.04500000	9274.8700	0.110	0.1549	60.12	17.65	1
OGLE-BLG-HB-0309	RG	17:58:12.26	-30:57:45.7	14.660	18.055	3.395	206.05600000	9175.6300	0.022	0.3103	45.93	66.92	1
OGLE-BLG-HB-0310	RG	17:58:12.50	-29:24:02.9	13.427	16.062	2.635	323.20000000	9096.0100	0.025	0.3337	62.85	29.23	1
OGLE-BLG-HB-0311	RG	17:58:19.97	-30:54:51.8	14.904	17.583	2.679	205.51800000	9006.0000	0.018	0.1105	89.90	105.20	1
OGLE-BLG-HB-0312	RG	17:58:20.64	-31:55:45.7	16.121	18.603	2.482	24.11555200	9000.9240	0.184	0.0805	89.80	139.25	0
OGLE-BLG-HB-0313	RG	17:58:20.86	-33:19:17.7	14.334	16.992	2.658	196.42800000	9095.8000	0.023	0.2084	62.50	127.10	0
OGLE-BLG-HB-0314	RG	17:58:21.07	-31:00:31.9	14.281	17.259	2.978	182.84600000	9181.6000	0.028	0.1621	63.50	149.22	1
OGLE-BLG-HB-0315	RG	17:58:28.38	-30:45:26.9	14.319	17.766	3.447	419.55000000	9008.9000	0.039	0.4323	64.50	141.20	1
OGLE-BLG-HB-0316	RG	17:58:32.76	-28:46:46.1	13.902	16.635	2.733	181.03400000	9055.8600	0.023	0.1716	56.84	5.24	1
OGLE-BLG-HB-0317	RG	17:58:39.97	-29:27:29.4	12.965	15.394	2.429	300.91700000	9032.4900	0.049	0.2352	49.75	12.26	1
OGLE-BLG-HB-0318	RG	17:58:46.37	-28:57:41.0	13.573	16.205	2.632	223.48700000	9206.9500	0.022	0.1762	73.20	4.14	1
OGLE-BLG-HB-0319	RG	17:58:46.95	-29:25:07.5	13.360	16.120	2.760	260.40600000	9236.4600	0.028	0.1679	55.21	52.54	1
OGLE-BLG-HB-0320	RG	17:58:47.88	-32:31:58.6	13.367	15.928	2.561	304.25900000	9101.2500	0.039	0.4118	89.20	88.20	1
OGLE-BLG-HB-0321	RG	17:58:48.62	-28:58:40.0	13.657	16.213	2.556	222.92800000	9118.6900	0.020	0.2353	40.85	166.92	1
OGLE-BLG-HB-0322	RG	17:58:49.86	-31:12:38.8	15.126	18.448	3.322	175.24900000	9055.2000	0.026	0.1837	75.50	133.10	1
OGLE-BLG-HB-0323	RG	17:58:51.28	-29:29:25.0	14.295	17.450	3.155	251.66500000	9118.0000	0.034	0.1773	59.61	92.37	1
OGLE-BLG-HB-0324	RG	17:58:52.21	-27:45:08.9	14.335	17.396	3.061	148.35220000	9147.3600	0.023	0.1123	51.00	47.80	1
OGLE-BLG-HB-0325	RG	17:58:52.42	-30:23:38.6	14.149	17.005	2.856	264.07500000	9168.8500	0.035	0.1587	67.70	125.74	1
OGLE-BLG-HB-0326	RG	17:58:54.26	-31:17:12.8	14.053	17.406	3.353	247.36000000	9219.8000	0.038	0.0796	89.20	44.50	1
OGLE-BLG-HB-0327	RG	17:58:55.11	-29:02:26.7	13.092	15.678	2.586	226.34300000	9119.1600	0.151	0.2149	75.95	133.98	0
OGLE-BLG-HB-0328	RG	17:58:56.87	-27:47:48.6	14.328	17.414	3.086	199.89310000	9005.7200	0.042	0.3205	65.25	61.25	1
OGLE-BLG-HB-0329	RG	17:59:03.29	-27:21:23.4	13.691	16.585	2.894	278.39200000	9265.1800	0.038	0.3802	57.00	179.40	1
OGLE-BLG-HB-0330	RG	17:59:05.56	-29:16:35.8	13.338	15.873	2.535	258.07100000	9200.0400	0.035	0.1349	89.80	135.05	1
OGLE-BLG-HB-0331	RG	17:59:08.43	-29:39:04.6	13.134	15.830	2.696	176.44100000	9031.0100	0.014	0.2265	90.00	55.90	1
OGLE-BLG-HB-0332	RG	17:59:14.14	-28:27:15.4	14.168	16.452	2.284	128.40260000	9022.8300	0.027	0.2912	67.58	133.47	1
OGLE-BLG-HB-0333	RG	17:59:16.25	-30:21:21.2	14.967	18.080	3.113	205.85600000	9199.6700	0.035	0.3788	51.93	131.61	1
OGLE-BLG-HB-0334	RG	17:59:26.24	-32:20:26.2	13.688	15.976	2.288	234.41300000	9181.3000	0.030	0.3724	71.60	129.60	1
OGLE-BLG-HB-0335	RG	17:59:28.61	-28:27:44.8	14.509	17.388	2.879	237.81400000	9088.8300	0.021	0.1720	78.50	86.75	1
OGLE-BLG-HB-0336	RG	17:59:30.75	-28:12:27.1	13.276	16.167	2.891	585.78900000	9309.6900	0.054	0.5228	57.03	55.73	1
OGLE-BLG-HB-0337	RG	17:59:30.85	-28:18:43.3	13.686	16.297	2.611	405.90000000	9196.6000	0.032	0.4912	72.80	172.30	1
OGLE-BLG-HB-0338	RG	17:59:33.40	-29:43:13.2	13.096	16.447	3.351	450.95900000	9030.1900	0.051	0.3029	56.30	171.34	1
OGLE-BLG-HB-0339	RG	17:59:33.61	-29:11:43.6	13.683	15.999	2.316	228.57600000	9003.7600	0.033	0.1341	84.40	49.83	1
OGLE-BLG-HB-0340	RG	17:59:36.47	-29:35:44.4	13.733	17.821	4.088	301.41680000	9139.4800	0.186	0.0695	90.00	65.36	0
OGLE-BLG-HB-0341	RG	17:59:37.40	-27:08:37.0	14.683	18.057	3.374	266.76600000	9226.1000	0.030	0.2425	82.60	47.10	1
OGLE-BLG-HB-0342	RG	17:59:39.25	-32:43:21.0	13.776	16.040	2.264	196.48600000	9162.4000	0.030	0.1042	89.20	117.20	1
OGLE-BLG-HB-0343	RG	17:59:45.05	-28:41:37.6	14.044	16.485	2.441	148.87810000	9066.0500	0.021	0.1481	72.40	168.42	1
OGLE-BLG-HB-0344	RG	17:59:51.45	-27:51:11.9	13.653	17.625	3.972	399.29200000	9374.3100	0.043	0.3421	73.35	14.83	1
OGLE-BLG-HB-0345	RG	17:59:55.64	-27:27:41.3	13.891	16.883	2.992	235.10100000	9217.4300	0.038	0.1127	89.50	82.06	1
OGLE-BLG-HB-0346	RG	18:00:01.38	-31:47:03.0	13.313	15.666	2.353	185.00450000	9046.0800	0.059	0.3635	69.60	75.34	0
OGLE-BLG-HB-0347	RG	18:00:01.53	-28:32:55.9	13.495	15.921	2.426	263.94600000	9026.0700	0.018	0.1682	67.60	14.33	1
OGLE-BLG-HB-0348	RG	18:00:04.09	-27:23:04.9	14.539	18.043	3.504	444.74500000	9332.1500	0.059	0.1405	58.99	155.86	1
OGLE-BLG-HB-0349	RG	18:00:06.74	-27:07:42.4	14.516	17.693	3.177	200.99400000	9113.3900	0.027	0.1551	75.70	4.09	1
