sed_filter,la,width,flux,eflux
SDSS.u,3519.02,277.0,-11.8935,0.04
Johnson.U,3531,309.0,-11.6302,0.04
Cousins.B,4359.98,464.0,-11.3366,0.04
Johnson.B,4442.03,445.0,-11.4051,0.04
SDSS.g,4819.97,622.0,-11.3756,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.4406,0.04
Cousins.V,5469.67,421.0,-11.5232,0.04
Johnson.V,5537.05,409.0,-11.4854,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.6227,0.04
SDSS.r,6246.98,631.0,-11.5073,0.04
Cousins.R,6468.99,648.0,-11.6114,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.6248,0.04
SDSS.i,7634.91,645.0,-11.6322,0.04
Cousins.I,7885.95,475.0,-11.8507,0.04
SDSS.z,9017.94,663.0,-11.6845,0.04
2MASS.J,12390.2,750.0,-11.8807,0.04
Johnson.J,12500.2,1500.0,-11.9573,0.04
Johnson.H,16300.2,1000.0,-12.1864,0.04
2MASS.H,16494.8,1200.0,-12.0902,0.04
2MASS.Ks,21637.9,1250.0,-12.3069,0.043917419782294714
Johnson.K,21900.2,2700.0,-12.4889,0.040314256578954086
WISE.W1,33500.1,3300.0,-12.6383,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.8639,0.040212450115822945
Spitzer.IRAC.4.5,44930.2,5100.0,-13.2792,0.0777100489571859
WISE.W2,46000.2,5200.0,-13.1329,0.04
