sed_filter,la,width,flux,eflux
XMM-OT.UVW1,2908.07,577.0,-9.75379,0.04
Cousins.U,3500.2,319.0,-9.97036,0.04
SDSS.u,3519.02,277.0,-9.99042,0.04
Johnson.U,3531,309.0,-9.86425,0.04
Cousins.B,4359.98,464.0,-9.99831,0.04
Johnson.B,4442.03,445.0,-10.0154,0.04
SDSS.g,4819.97,622.0,-10.0301,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.076,0.04
Cousins.V,5469.67,421.0,-10.1119,0.04
Johnson.V,5537.05,409.0,-10.1661,0.04
GAIA.GAIA3.G,5822.34,2026.0,-10.1484,0.04
SDSS.r,6246.98,631.0,-10.1515,0.04
Cousins.R,6468.99,648.0,-10.1973,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.2879,0.04
SDSS.i,7634.91,645.0,-10.2854,0.04
Cousins.I,7885.95,475.0,-10.403,0.04
SDSS.z,9017.94,663.0,-10.4291,0.04
2MASS.J,12390.2,750.0,-10.6264,0.04
Johnson.J,12500.2,1500.0,-10.6073,0.04
Johnson.H,16300.2,1000.0,-10.8466,0.04
2MASS.H,16494.8,1200.0,-10.8523,0.04
2MASS.Ks,21637.9,1250.0,-11.1228,0.04
Johnson.K,21900.2,2700.0,-11.1248,0.04
WISE.W1,33500.1,3300.0,-11.5284,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-11.5905,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-11.8413,0.04
WISE.W2,46000.2,5200.0,-11.9049,0.04
WISE.W3,115598,27550.0,-12.0837,0.04
