sed_filter,la,width,flux,eflux
XMM-OT.UVW2,2118.97,324.0,-10.4394,0.04
XMM-OT.UVW1,2908.07,577.0,-10.5668,0.04
Cousins.U,3500.2,319.0,-10.7112,0.04
SDSS.u,3519.02,277.0,-10.7117,0.04
Johnson.U,3531,309.0,-10.7346,0.04
Cousins.B,4359.98,464.0,-10.7735,0.04
Johnson.B,4442.03,445.0,-10.7694,0.04
SDSS.g,4819.97,622.0,-10.8502,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.9221,0.04
Cousins.V,5469.67,421.0,-11.0011,0.04
Johnson.V,5537.05,409.0,-11.004,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.0578,0.04
SDSS.r,6246.98,631.0,-11.1147,0.04
Cousins.R,6468.99,648.0,-11.1667,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.337,0.04
SDSS.i,7634.91,645.0,-11.4082,0.04
Cousins.I,7885.95,475.0,-11.2708,0.04
SDSS.z,9017.94,663.0,-11.4571,0.04
2MASS.J,12390.2,750.0,-17.4176,0.04
Johnson.J,12500.2,1500.0,-11.8492,0.04
Johnson.H,16300.2,1000.0,-12.1864,0.04
2MASS.H,16494.8,1200.0,-17.7193,0.04
2MASS.Ks,21637.9,1250.0,-12.4692,0.04
Johnson.K,21900.2,2700.0,-12.4889,0.04
WISE.W1,33500.1,3300.0,-12.9838,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-13.0522,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-13.3325,0.04
WISE.W2,46000.2,5200.0,-13.5484,0.04
