sed_filter,la,width,flux,eflux
XMM-OT.UVW1,2908.07,577.0,-11.0146,0.04
Cousins.U,3500.2,319.0,-11.1025,0.04
SDSS.u,3519.02,277.0,-11.1125,0.04
Cousins.B,4359.98,464.0,-11.1252,0.04
SDSS.g,4819.97,622.0,-11.185,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.254,0.04
Cousins.V,5469.67,421.0,-11.3011,0.04
Johnson.V,5537.05,409.0,-11.2837,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.3478,0.04
SDSS.r,6246.98,631.0,-11.3961,0.04
Cousins.R,6468.99,648.0,-11.4458,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.627,0.04
SDSS.i,7634.91,645.0,-11.5951,0.04
Cousins.I,7885.95,475.0,-11.6574,0.04
SDSS.z,9017.94,663.0,-11.8299,0.04
2MASS.J,12390.2,750.0,-12.2166,0.05017745174331896
Johnson.J,12500.2,1500.0,-12.0052,0.04
Johnson.H,16300.2,1000.0,-12.3221,0.04
2MASS.H,16494.8,1200.0,-12.6266,0.14699198517179882
Johnson.K,21900.2,2700.0,-12.6206,0.04
