sed_filter,la,width,flux,eflux
XMM-OT.UVW1,2908.07,577.0,-11.3783,0.04
SDSS.u,3519.02,277.0,-11.7117,0.04
Johnson.U,3531,309.0,-11.6544,0.04
Cousins.B,4359.98,464.0,-11.1679,0.04
Johnson.B,4442.03,445.0,-11.1537,0.04
SDSS.g,4819.97,622.0,-10.8945,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.933,0.04
Cousins.V,5469.67,421.0,-10.8615,0.04
Johnson.V,5537.05,409.0,-10.7695,0.04
GAIA.GAIA3.G,5822.34,2026.0,-10.7818,0.04
SDSS.r,6246.98,631.0,-10.7566,0.04
Cousins.R,6468.99,648.0,-10.743,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.685,0.04
SDSS.i,7634.91,645.0,-10.6516,0.04
Cousins.I,7885.95,475.0,-10.6354,0.04
SDSS.z,9017.94,663.0,-10.6607,0.04
2MASS.J,12390.2,750.0,-10.6757,0.04
Johnson.J,12500.2,1500.0,-10.6707,0.04
Johnson.H,16300.2,1000.0,-10.7019,0.04
2MASS.H,16494.8,1200.0,-10.7031,0.04
2MASS.Ks,21637.9,1250.0,-10.9793,0.04
Johnson.K,21900.2,2700.0,-10.9991,0.04
WISE.W1,33500.1,3300.0,-11.4451,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-11.5111,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-11.8178,0.04
WISE.W2,46000.2,5200.0,-11.8806,0.04
WISE.W3,115598,27550.0,-12.9681,0.09732383198442493
