sed_filter,la,width,flux,eflux
XMM-OT.UVW2,2118.97,324.0,-11.1169,0.04
XMM-OT.UVW1,2908.07,577.0,-11.0183,0.04
Cousins.U,3500.2,319.0,-10.9669,0.04
SDSS.u,3519.02,277.0,-11.0051,0.04
Johnson.U,3531,309.0,-10.9281,0.04
Cousins.B,4359.98,464.0,-10.8704,0.04
Johnson.B,4442.03,445.0,-10.8186,0.044394547617265266
SDSS.g,4819.97,622.0,-10.856,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.9948,0.04
Cousins.V,5469.67,421.0,-11.041,0.04
Johnson.V,5537.05,409.0,-11.1051,0.05990268914817921
GAIA.GAIA3.G,5822.34,2026.0,-11.0979,0.04
SDSS.r,6246.98,631.0,-10.9925,0.04
Cousins.R,6468.99,648.0,-11.1697,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.3014,0.04
SDSS.i,7634.91,645.0,-11.2821,0.04
Cousins.I,7885.95,475.0,-11.2411,0.04
SDSS.z,9017.94,663.0,-11.4064,0.04
2MASS.J,12390.2,750.0,-11.6586,0.04
Johnson.J,12500.2,1500.0,-11.6851,0.04
Johnson.H,16300.2,1000.0,-11.9667,0.04
2MASS.H,16494.8,1200.0,-11.9384,0.04
2MASS.Ks,21637.9,1250.0,-12.2249,0.04
Johnson.K,21900.2,2700.0,-12.2445,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.7924,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-13.0651,0.04
