sed_filter,la,width,flux,eflux
Johnson.U,3531,309.0,-12.594,0.056458289269087227
Cousins.B,4359.98,464.0,-12.0658,0.04
Johnson.B,4442.03,445.0,-12.7492,0.06909230888956057
SDSS.g,4819.97,622.0,-11.81,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.7644,0.04
Cousins.V,5469.67,421.0,-11.6757,0.04
Johnson.V,5537.05,409.0,-11.6754,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.5648,0.04
SDSS.r,6246.98,631.0,-11.5487,0.04
Cousins.R,6468.99,648.0,-11.5258,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.4514,0.04
SDSS.i,7634.91,645.0,-11.4675,0.04
Cousins.I,7885.95,475.0,-11.5526,0.04
SDSS.z,9017.94,663.0,-11.4571,0.04
2MASS.J,12390.2,750.0,-11.4287,0.04
Johnson.J,12500.2,1500.0,-11.4,0.04
Johnson.H,16300.2,1000.0,-11.4173,0.04
2MASS.H,16494.8,1200.0,-11.4288,0.04
2MASS.Ks,21637.9,1250.0,-11.7092,0.04
Johnson.K,21900.2,2700.0,-11.6963,0.04
WISE.W1,33500.1,3300.0,-12.1921,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.2101,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.5535,0.04
WISE.W2,46000.2,5200.0,-12.7743,0.04
WISE.W3,115598,27550.0,-13.2417,0.04
