sed_filter,la,width,flux,eflux
Cousins.U,3500.2,319.0,-10.897,0.04
SDSS.u,3519.02,277.0,-10.9204,0.04
Johnson.U,3531,309.0,-10.8207,0.04
Cousins.B,4359.98,464.0,-10.9895,0.04
Johnson.B,4442.03,445.0,-11.6711,0.0577226863976641
SDSS.g,4819.97,622.0,-11.0601,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.1181,0.04
Cousins.V,5469.67,421.0,-11.1893,0.04
Johnson.V,5537.05,409.0,-10.9969,0.06070783254441035
GAIA.GAIA3.G,5822.34,2026.0,-11.2391,0.04
SDSS.r,6246.98,631.0,-11.2735,0.04
Cousins.R,6468.99,648.0,-11.3212,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.4687,0.04
SDSS.i,7634.91,645.0,-11.5315,0.04
Cousins.I,7885.95,475.0,-11.4497,0.04
SDSS.z,9017.94,663.0,-11.6529,0.04
2MASS.J,12390.2,750.0,-11.913,0.04
Johnson.J,12500.2,1500.0,-11.9008,0.04
Johnson.H,16300.2,1000.0,-12.1625,0.04
2MASS.H,16494.8,1200.0,-11.9378,0.04
2MASS.Ks,21637.9,1250.0,-12.7685,0.04
Johnson.K,21900.2,2700.0,-12.4487,0.04
WISE.W1,33500.1,3300.0,-12.9052,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.915,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-13.0929,0.04
WISE.W2,46000.2,5200.0,-13.1485,0.04
