sed_filter,la,width,flux,eflux
Cousins.U,3500.2,319.0,-11.0379,0.04
SDSS.u,3519.02,277.0,-11.0568,0.04
Cousins.B,4359.98,464.0,-11.0871,0.04
Johnson.B,4442.03,445.0,-11.0916,0.06876329343269302
SDSS.g,4819.97,622.0,-11.2019,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.2372,0.04
Cousins.V,5469.67,421.0,-11.3122,0.04
Johnson.V,5537.05,409.0,-11.3074,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.3713,0.04
SDSS.r,6246.98,631.0,-11.4147,0.04
Cousins.R,6468.99,648.0,-11.4755,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.6425,0.04
SDSS.i,7634.91,645.0,-11.6192,0.04
Cousins.I,7885.95,475.0,-11.6125,0.04
SDSS.z,9017.94,663.0,-11.7759,0.04
2MASS.J,12390.2,750.0,-12.0873,0.04
Johnson.J,12500.2,1500.0,-12.0116,0.057763302303404256
Johnson.H,16300.2,1000.0,-12.2805,0.10666882629513479
2MASS.H,16494.8,1200.0,-12.3903,0.0562256260561419
2MASS.Ks,21637.9,1250.0,-12.4051,0.04
Johnson.K,21900.2,2700.0,-12.4243,0.04
WISE.W1,33500.1,3300.0,-13.3071,0.04
WISE.W2,46000.2,5200.0,-14.0276,0.2201631839294777
WISE.W3,115598,27550.0,-13.319,0.04
