sed_filter,la,width,flux,eflux
XMM-OT.UVW1,2908.07,577.0,-11.3101,0.04
Cousins.U,3500.2,319.0,-11.4598,0.04
SDSS.u,3519.02,277.0,-11.4841,0.04
Johnson.U,3531,309.0,-11.497,0.04
Cousins.B,4359.98,464.0,-11.4068,0.04
Johnson.B,4442.03,445.0,-11.3992,0.04
SDSS.g,4819.97,622.0,-11.4754,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.5504,0.04
Cousins.V,5469.67,421.0,-11.6089,0.04
Johnson.V,5537.05,409.0,-11.6132,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.6702,0.04
SDSS.r,6246.98,631.0,-11.7082,0.04
Cousins.R,6468.99,648.0,-11.7577,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.9055,0.04
SDSS.i,7634.91,645.0,-11.9511,0.04
Cousins.I,7885.95,475.0,-11.886,0.04
Johnson.J,12500.2,1500.0,-12.3846,0.04
Johnson.H,16300.2,1000.0,-12.694,0.04
2MASS.H,16494.8,1200.0,-11.8535,0.04
WISE.W1,33500.1,3300.0,-13.3424,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-13.4948,0.048127621459214884
Spitzer.IRAC.4.5,44930.2,5100.0,-13.6986,0.05935358157492024
WISE.W2,46000.2,5200.0,-14.331,0.19409808594455186
