angDist,_RAJ2000,_DEJ2000,Loc,ID,Type,RAJ2000,DEJ2000,OGLE-IV,Other,Imag,Vmag,Per,T0,Amp,e,i,omega,Var,Mod,P16,Simbad,_RAJ2000,_DEJ2000,[M2002],RAJ2000,DEJ2000,Vmag,B-V,U-B,V-R,e_Vmag,f_[M2002]
0.544476,74.25,-69.33225,LMC,OGLE-LMC-HB-0039,RG,04 57 00.00,-69 19 56.1,LMC531.09.50649,,14.914,16.301,356.34948036,9030.262,0.021,0.2962,45.67,17.77,,1,0,Simbad,74.24958,-69.33228,31759,04 56 59.90,-69 19 56.2,15.92,0.65,0.3,0.55,0.06," "
0.568225,74.26675,-70.9612778,LMC,OGLE-LMC-HB-0040,RG,04 57 04.02,-70 57 40.6,LMC508.25.10629,,15.628,17.099,327.99198817,9087.5673,0.021,0.2471,67.11,133.94,,0,0,Simbad,74.26654,-70.96142,32101,04 57 03.97,-70 57 41.1,17.22,1.26,,1.04,0.13," "
1.398165,74.2927083,-70.9730278,LMC,OGLE-LMC-HB-0042,RG,04 57 10.25,-70 58 22.9,LMC508.25.10623,,15.598,17.16,575.53713018,9472.2112,0.039,0.5023,56.24,59.44,,1,0,Simbad,74.29196,-70.97333,32617,04 57 10.07,-70 58 24.0,16.83,1.19,,1.0,0.11," "
1.105517,74.321125,-69.6670556,LMC,OGLE-LMC-HB-0043,MS,04 57 17.07,-69 40 01.4,LMC531.01.45685,OGLE-LMC-ECL-03748,16.231,16.197,8.54248906,9003.6443,0.022,0.4403,42.63,127.26,ECL,0,1,Simbad,74.32162,-69.66731,33207,04 57 17.19,-69 40 02.3,15.55,0.0,-0.49,0.1,0.04," "
0.990149,74.3265833,-69.3212778,LMC,OGLE-LMC-HB-0044,RG,04 57 18.38,-69 19 16.6,LMC531.09.50669,,15.056,16.631,694.336643,9163.2946,0.033,0.5107,63.03,139.02,TEO,1,0,Simbad,74.32725,-69.32142,33322,04 57 18.54,-69 19 17.1,16.31,1.01,,0.72,0.07," "
0.532392,74.3587083,-69.4406389,LMC,OGLE-LMC-HB-0045,MS,04 57 26.09,-69 26 26.3,LMC531.09.42317,OGLE-LMC-ECL-03811,15.876,15.832,4.78841134,9001.2242,0.022,0.2905,52.87,5.94,ECL,0,1,Simbad,74.35912,-69.44067,33951,04 57 26.19,-69 26 26.4,15.41,0.16,-0.73,0.4,0.03," "
0.820282,74.4561667,-70.2043056,LMC,OGLE-LMC-HB-0046,MS,04 57 49.48,-70 12 15.5,LMC509.16.3,,14.102,14.195,43.51868836,9028.8044,0.076,0.4206,18.97,77.79,,1,0,Simbad,74.45671,-70.20444,35784,04 57 49.61,-70 12 16.0,14.4,-0.07,-0.93,0.04,0.01,m
1.852351,74.6275,-70.7488333,LMC,OGLE-LMC-HB-0049,RG,04 58 30.60,-70 44 55.8,LMC508.32.133,,16.122,17.464,394.20182353,9128.8088,0.024,0.4397,58.3,28.81,,1,0,Simbad,74.62904,-70.74875,39150,04 58 30.97,-70 44 55.5,16.45,1.11,,0.86,0.07," "
0.136288,74.9443333,-70.4966944,LMC,OGLE-LMC-HB-0053,RG,04 59 46.64,-70 29 48.1,LMC509.07.10,,14.374,15.986,615.11348448,9551.0619,0.039,0.4543,50.31,46.6,OSARG,1,0,Simbad,74.94442,-70.49667,44653,04 59 46.66,-70 29 48.0,15.89,1.39,,0.76,0.04," "
0.562060,75.0936667,-70.12725,LMC,OGLE-LMC-HB-0055,RG,05 00 22.48,-70 07 38.1,LMC509.15.281,[O96]-D050NE-67,16.057,17.371,197.29586927,9175.1982,0.032,0.3033,31.59,155.82,,1,0,Simbad,75.09387,-70.12739,47038,05 00 22.53,-70 07 38.6,17.26,0.56,,0.78,0.22," "
