angDist,_RAJ2000,_DEJ2000,Loc,ID,Type,RAJ2000,DEJ2000,OGLE-IV,Other,Imag,Vmag,Per,T0,Amp,e,i,omega,Var,Mod,P16,Simbad,ra,dec,Umag,Bmag,Vmag,Imag,e_Umag,e_Bmag,e_Vmag,e_Imag,flag
0.572490,72.53575,-70.018,LMC,OGLE-LMC-HB-0010,RG,04 50 08.58,-70 01 04.8,LMC530.29.22963,,15.094,16.287,177.16096516,9062.7517,0.023,0.4071,36.65,65.79,,1,0,Simbad,72.53590,-70.01785,17.625,17.221,16.144,15.014,0.048,0.033,0.023,0.037,10
3.193704,72.53575,-70.018,LMC,OGLE-LMC-HB-0010,RG,04 50 08.58,-70 01 04.8,LMC530.29.22963,,15.094,16.287,177.16096516,9062.7517,0.023,0.4071,36.65,65.79,,1,0,Simbad,72.53723,-70.01727,18.768,19.327,19.139,,0.075,0.107,0.090,,0
4.347906,72.53575,-70.018,LMC,OGLE-LMC-HB-0010,RG,04 50 08.58,-70 01 04.8,LMC530.29.22963,,15.094,16.287,177.16096516,9062.7517,0.023,0.4071,36.65,65.79,,1,0,Simbad,72.53801,-70.01893,,21.234,20.429,19.286,,0.102,0.083,0.079,0
0.441646,72.5685,-70.1775833,LMC,OGLE-LMC-HB-0011,RG,04 50 16.44,-70 10 39.3,LMC530.29.16078,,15.591,17.2,438.74413568,9330.971,0.025,0.2819,89.83,122.29,,1,0,Simbad,72.56870,-70.17748,20.394,18.673,17.106,15.526,0.158,0.034,0.036,0.042,10
1.928319,72.5685,-70.1775833,LMC,OGLE-LMC-HB-0011,RG,04 50 16.44,-70 10 39.3,LMC530.29.16078,,15.591,17.2,438.74413568,9330.971,0.025,0.2819,89.83,122.29,,1,0,Simbad,72.56916,-70.17807,20.174,19.951,19.000,18.208,0.375,0.058,0.061,0.100,10
3.034863,72.5685,-70.1775833,LMC,OGLE-LMC-HB-0011,RG,04 50 16.44,-70 10 39.3,LMC530.29.16078,,15.591,17.2,438.74413568,9330.971,0.025,0.2819,89.83,122.29,,1,0,Simbad,72.57019,-70.17820,19.434,18.782,17.869,16.900,0.200,0.041,0.042,0.045,10
4.478591,72.5685,-70.1775833,LMC,OGLE-LMC-HB-0011,RG,04 50 16.44,-70 10 39.3,LMC530.29.16078,,15.591,17.2,438.74413568,9330.971,0.025,0.2819,89.83,122.29,,1,0,Simbad,72.57135,-70.17680,20.334,20.233,19.366,18.423,0.153,0.062,0.063,0.051,10
4.825699,72.5685,-70.1775833,LMC,OGLE-LMC-HB-0011,RG,04 50 16.44,-70 10 39.3,LMC530.29.16078,,15.591,17.2,438.74413568,9330.971,0.025,0.2819,89.83,122.29,,1,0,Simbad,72.56606,-70.17653,19.872,20.053,19.855,19.873,0.111,0.046,0.054,0.127,10
0.559386,72.688625,-70.0981389,LMC,OGLE-LMC-HB-0012,RG,04 50 45.27,-70 05 53.3,LMC530.29.19176,OGLE-LMC-ECL-01488,15.371,16.882,435.48818601,9405.3293,0.041,0.2963,54.82,18.84,ECL,0,1,Simbad,72.68883,-70.09800,19.636,18.202,16.825,15.350,0.106,0.035,0.050,0.036,10
4.683720,72.688625,-70.0981389,LMC,OGLE-LMC-HB-0012,RG,04 50 45.27,-70 05 53.3,LMC530.29.19176,OGLE-LMC-ECL-01488,15.371,16.882,435.48818601,9405.3293,0.041,0.2963,54.82,18.84,ECL,0,1,Simbad,72.68988,-70.09691,16.803,17.415,17.434,17.556,0.044,0.032,0.027,0.041,10
4.999746,72.688625,-70.0981389,LMC,OGLE-LMC-HB-0012,RG,04 50 45.27,-70 05 53.3,LMC530.29.19176,OGLE-LMC-ECL-01488,15.371,16.882,435.48818601,9405.3293,0.041,0.2963,54.82,18.84,ECL,0,1,Simbad,72.68613,-70.09704,21.011,21.863,21.583,20.928,0.325,0.145,0.151,0.317,0
0.665996,72.6972917,-70.2756111,LMC,OGLE-LMC-HB-0013,RG,04 50 47.35,-70 16 32.2,LMC530.21.18945,OGLE-LMC-ECL-27014,15.999,17.499,324.53764041,9182.4077,0.048,0.4521,76.28,59.64,,1,1,Simbad,72.69750,-70.27544,,18.866,17.506,16.033,,0.108,0.039,0.037,0
1.967493,72.6972917,-70.2756111,LMC,OGLE-LMC-HB-0013,RG,04 50 47.35,-70 16 32.2,LMC530.21.18945,OGLE-LMC-ECL-27014,15.999,17.499,324.53764041,9182.4077,0.048,0.4521,76.28,59.64,,1,1,Simbad,72.69873,-70.27536,19.545,20.423,20.033,,0.134,0.132,0.182,,0
3.030790,72.6972917,-70.2756111,LMC,OGLE-LMC-HB-0013,RG,04 50 47.35,-70 16 32.2,LMC530.21.18945,OGLE-LMC-ECL-27014,15.999,17.499,324.53764041,9182.4077,0.048,0.4521,76.28,59.64,,1,1,Simbad,72.69653,-70.27481,,21.639,21.465,,,0.162,0.150,,0
0.369254,72.735625,-69.4267222,LMC,OGLE-LMC-HB-0014,RG,04 50 56.55,-69 25 36.2,LMC531.13.10236,EROS2-star-lm012-2m-3813,14.497,15.726,359.10820546,9253.0925,0.041,0.2604,39.03,161.71,,1,0,Simbad,72.73560,-69.42662,16.530,16.668,15.751,14.450,0.052,0.031,0.025,0.098,20
0.317665,72.8403333,-67.2211667,LMC,OGLE-LMC-HB-0015,RG,04 51 21.68,-67 13 16.2,LMC533.06.19946,,15.238,16.618,311.75154632,9257.1973,0.028,0.1908,65.99,47.29,,1,0,Simbad,72.84037,-67.22108,19.458,18.028,16.693,15.326,0.109,0.029,0.019,0.029,10
3.120831,72.8403333,-67.2211667,LMC,OGLE-LMC-HB-0015,RG,04 51 21.68,-67 13 16.2,LMC533.06.19946,,15.238,16.618,311.75154632,9257.1973,0.028,0.1908,65.99,47.29,,1,0,Simbad,72.83857,-67.22063,17.233,17.729,17.730,17.667,0.046,0.028,0.059,0.043,10
0.630291,72.9634167,-69.7205833,LMC,OGLE-LMC-HB-0016,RG,04 51 51.22,-69 43 14.1,LMC531.04.31795,,15.207,16.232,128.68966224,9086.3779,0.023,0.2003,76.84,32.68,,1,0,Simbad,72.96335,-69.72041,17.557,17.133,16.274,15.312,0.046,0.030,0.034,0.036,10
4.614339,72.9634167,-69.7205833,LMC,OGLE-LMC-HB-0016,RG,04 51 51.22,-69 43 14.1,LMC531.04.31795,,15.207,16.232,128.68966224,9086.3779,0.023,0.2003,76.84,32.68,,1,0,Simbad,72.96556,-69.71954,,21.527,21.638,,,0.118,0.154,,0
0.707956,72.983,-69.3928889,LMC,OGLE-LMC-HB-0017,MS,04 51 55.92,-69 23 34.4,LMC531.12.36543,,16.258,16.17,19.72611703,9004.1114,0.093,0.1763,17.31,9.38,,1,0,Simbad,72.98285,-69.39270,14.422,15.625,15.352,15.510,0.115,0.081,0.114,0.108,10
0.217642,73.0234167,-66.81,LMC,OGLE-LMC-HB-0018,RG,04 52 05.62,-66 48 36.0,LMC533.23.11,,14.975,16.558,577.86047487,9165.2075,0.052,0.3787,53.06,173.39,,1,0,Simbad,73.02344,-66.80994,19.586,18.081,16.624,15.020,0.140,0.040,0.019,0.031,10
0.418421,73.0548333,-69.5508889,LMC,OGLE-LMC-HB-0019,RG,04 52 13.16,-69 33 03.2,LMC531.12.24810,,15.487,17.067,547.52193292,9326.1899,0.022,0.4471,60.1,102.19,,1,0,Simbad,73.05495,-69.55078,20.172,18.630,17.122,15.503,0.131,0.038,0.034,0.154,10
4.338655,73.0548333,-69.5508889,LMC,OGLE-LMC-HB-0019,RG,04 52 13.16,-69 33 03.2,LMC531.12.24810,,15.487,17.067,547.52193292,9326.1899,0.022,0.4471,60.1,102.19,,1,0,Simbad,73.05828,-69.55084,,22.340,21.679,20.682,,0.221,0.190,0.202,0
4.776477,73.0548333,-69.5508889,LMC,OGLE-LMC-HB-0019,RG,04 52 13.16,-69 33 03.2,LMC531.12.24810,,15.487,17.067,547.52193292,9326.1899,0.022,0.4471,60.1,102.19,,1,0,Simbad,73.05754,-69.54996,,19.727,18.464,16.971,,0.064,0.058,0.056,0
4.938552,73.0548333,-69.5508889,LMC,OGLE-LMC-HB-0019,RG,04 52 13.16,-69 33 03.2,LMC531.12.24810,,15.487,17.067,547.52193292,9326.1899,0.022,0.4471,60.1,102.19,,1,0,Simbad,73.05129,-69.55148,20.184,20.502,20.254,20.285,0.173,0.075,0.080,0.167,10
0.325714,73.0995,-68.3651389,LMC,OGLE-LMC-HB-0020,RG,04 52 23.88,-68 21 54.5,LMC532.13.4,OGLE-LMC-ECL-01908,12.874,14.222,415.37692142,9386.909,0.263,0.0191,12.7,45.88,ECL,0,1,Simbad,73.09955,-68.36505,15.437,15.426,14.408,13.009,0.066,0.029,0.023,0.078,10
4.123402,73.0995,-68.3651389,LMC,OGLE-LMC-HB-0020,RG,04 52 23.88,-68 21 54.5,LMC532.13.4,OGLE-LMC-ECL-01908,12.874,14.222,415.37692142,9386.909,0.263,0.0191,12.7,45.88,ECL,0,1,Simbad,73.10045,-68.36623,,20.093,19.319,18.494,,0.064,0.110,0.157,0
0.474161,73.143125,-68.8426667,LMC,OGLE-LMC-HB-0021,RG,04 52 34.35,-68 50 33.6,LMC531.29.6068,,15.204,16.891,402.65499855,9126.0888,0.021,0.1306,43.3,171.52,,1,0,Simbad,73.14322,-68.84254,20.626,18.563,16.951,15.212,0.229,0.039,0.031,0.089,10
2.806607,73.143125,-68.8426667,LMC,OGLE-LMC-HB-0021,RG,04 52 34.35,-68 50 33.6,LMC531.29.6068,,15.204,16.891,402.65499855,9126.0888,0.021,0.1306,43.3,171.52,,1,0,Simbad,73.14105,-68.84245,,22.626,21.478,,,0.283,0.158,,0
3.891334,73.143125,-68.8426667,LMC,OGLE-LMC-HB-0021,RG,04 52 34.35,-68 50 33.6,LMC531.29.6068,,15.204,16.891,402.65499855,9126.0888,0.021,0.1306,43.3,171.52,,1,0,Simbad,73.14477,-68.84357,20.153,19.733,19.639,19.524,0.161,0.062,0.092,0.095,10
4.169897,73.143125,-68.8426667,LMC,OGLE-LMC-HB-0021,RG,04 52 34.35,-68 50 33.6,LMC531.29.6068,,15.204,16.891,402.65499855,9126.0888,0.021,0.1306,43.3,171.52,,1,0,Simbad,73.14578,-68.84332,,21.517,21.304,21.061,,0.117,0.129,0.300,0
0.441857,73.3622083,-66.566,LMC,OGLE-LMC-HB-0022,RG,04 53 26.93,-66 33 57.6,LMC533.22.9632,EROS2-star-lm028-1n-24990,15.025,16.777,370.69506923,9249.7648,0.085,0.2967,54.17,100.19,,1,0,Simbad,73.36234,-66.56589,19.853,18.399,16.824,15.054,0.129,0.032,0.023,0.050,10
0.498221,73.509625,-68.1210278,LMC,OGLE-LMC-HB-0023,RG,04 54 02.31,-68 07 15.7,LMC532.12.15797,,16.226,17.718,237.90719959,9078.8979,0.026,0.193,73.64,104.84,,1,0,Simbad,73.50966,-68.12089,21.163,19.147,17.718,16.149,0.356,0.038,0.036,0.049,10
