ID,irslope,ac
OGLE LMC-HB-0001,0.07125453428506091,-0.6961912637172951
OGLE LMC-HB-0002,0.18424610761209384,-0.49848445937515495
OGLE LMC-HB-0003,-0.32287601968237956,0.16911429071822287
OGLE LMC-HB-0004,-0.1327597078287242,-0.7683668081845916
OGLE LMC-HB-0005,0.05131944296673802,-0.7735131305301896
OGLE LMC-HB-0006,0.08059786975513493,-0.5298375933645549
OGLE LMC-HB-0007,-0.044990810701599694,-0.8504903933427467
OGLE LMC-HB-0008,-0.28604070532574727,-0.2685998900401944
OGLE LMC-HB-0009,-0.02946296871754559,-0.8197986732755662
OGLE LMC-HB-0010,0.6046235374461534,-0.07581432719979544
OGLE LMC-HB-0011,0.01516669330961334,-0.7649283667416023
OGLE LMC-HB-0012,-0.0989699023667661,-0.776345090309156
OGLE LMC-HB-0013,0.017362403562799205,-0.7868341248529073
OGLE LMC-HB-0014,-0.48435993808712485,0.5034254649947363
OGLE LMC-HB-0015,-0.08001572446801161,-0.8327917551262572
OGLE LMC-HB-0016,-0.1116677787101098,0.27955143089251194
OGLE LMC-HB-0017,-1.035900521731362,-0.4283181409619301
OGLE LMC-HB-0018,0.029424953363345642,-0.7473464537615052
OGLE LMC-HB-0019,-0.3225651618948433,-0.7545404438212049
OGLE LMC-HB-0020,-0.6629721601550309,0.15298926819169306
OGLE LMC-HB-0021,0.10063770715563558,-0.8130757062048919
OGLE LMC-HB-0022,0.0491963366448179,-0.6056252824820751
OGLE LMC-HB-0023,0.1883820699008716,-0.7228309834819987
OGLE LMC-HB-0024,-0.16993457107958854,-0.8808771032235675
OGLE LMC-HB-0025,-0.09189554577861847,-0.444073459355317
OGLE LMC-HB-0026,0.02504046843472057,-0.6206167332010515
OGLE LMC-HB-0027,0.37767488627144147,-0.4904061930827685
OGLE LMC-HB-0028,-0.12631910105246913,-0.7481357079650535
OGLE LMC-HB-0029,0.004978743249046298,-0.4936989403697873
OGLE LMC-HB-0030,-1.8365902440895063,0.7781704794921415
OGLE LMC-HB-0031,0.10185872569286214,-0.7827660531209409
OGLE LMC-HB-0032,-0.05434261485536738,-0.4588360927991589
OGLE LMC-HB-0033,-0.06074560824540348,-0.9321320528454776
OGLE LMC-HB-0034,0.08649491824361241,-0.47042972793738597
OGLE LMC-HB-0035,-0.06512774035606951,-0.37032280408238805
OGLE LMC-HB-0036,0.14203198651558963,-0.9476993945341347
OGLE LMC-HB-0037,-0.07904284797891667,-0.6170058175701296
OGLE LMC-HB-0038,0.14876823779690473,-0.9439276421776951
OGLE LMC-HB-0039,0.08933290416567584,-0.7546125973569492
OGLE LMC-HB-0040,0.15099829893251446,-0.6405177008722766
OGLE LMC-HB-0041,-0.05181088358056926,-0.7730464615102769
OGLE LMC-HB-0042,0.2506903106088188,-0.5574010075742531
OGLE LMC-HB-0043,-0.5633342627247343,2.2089403526421356
OGLE LMC-HB-0044,-0.021493343521334127,-0.8923835251290635
OGLE LMC-HB-0045,-2.4217650171000256,1.3032232795374343
OGLE LMC-HB-0046,-0.9563418862426458,0.37491636864923467
OGLE LMC-HB-0047,0.15192610950996416,-0.8136411793226458
OGLE LMC-HB-0048,-0.10069535988287964,-0.6190730593899927
OGLE LMC-HB-0049,-0.2822288768087588,1.6052621936982856
OGLE LMC-HB-0050,0.2888923851437396,-0.773502824261721
OGLE LMC-HB-0051,-0.7092297242898986,-0.7753640962243642
OGLE LMC-HB-0052,0.05979966482725341,-0.39900052672235864
OGLE LMC-HB-0053,-0.1686365152093218,-0.7458584113118134
