ID,slope
OGLE LMC-HB-0119,-0.11972040888202741
OGLE LMC-HB-0120,-0.16450586970819875
OGLE LMC-HB-0121,-0.18289793428794057
OGLE LMC-HB-0122,-1.6218253315136846
OGLE LMC-HB-0123,-0.6521145557912114
OGLE LMC-HB-0124,0.6064128232775143
OGLE LMC-HB-0125,0.018494036409252613
OGLE LMC-HB-0126,0.07416417040708505
OGLE LMC-HB-0127,-0.011431567874746041
OGLE LMC-HB-0128,0.05927730490025573
OGLE LMC-HB-0129,-0.16887931888988358
OGLE LMC-HB-0130,-0.02934209125832822
OGLE LMC-HB-0131,0.07900366676470995
OGLE LMC-HB-0132,0.23639119211486206
OGLE LMC-HB-0133,0.21130354482186967
OGLE LMC-HB-0134,0.32583356386778456
OGLE LMC-HB-0135,0.23926190564452635
OGLE LMC-HB-0136,-1.0089475522324791
OGLE LMC-HB-0137,-0.4228522156998085
OGLE LMC-HB-0138,-0.03061688781223862
OGLE LMC-HB-0139,-0.08092857682135711
OGLE LMC-HB-0140,0.9334479475046745
OGLE LMC-HB-0141,-0.44806394422442947
OGLE LMC-HB-0142,0.17029425843224638
OGLE LMC-HB-0143,-0.42693156501814894
OGLE LMC-HB-0144,0.04268398610738863
OGLE LMC-HB-0145,-0.11743646615282621
OGLE LMC-HB-0146,0.005361245071645962
OGLE LMC-HB-0147,-0.15007021835411571
OGLE LMC-HB-0148,0.2879812611396871
OGLE LMC-HB-0149,0.3114735116315361
OGLE LMC-HB-0150,0.2980207847443407
OGLE LMC-HB-0151,0.0023747881012205277
OGLE LMC-HB-0152,0.08747260771789978
OGLE LMC-HB-0153,0.09409983287658953
OGLE LMC-HB-0154,-1.5610876655094077
OGLE LMC-HB-0155,1.1150357301095128
OGLE LMC-HB-0156,0.3090604549182187
OGLE LMC-HB-0157,-3.8444131467705986
OGLE LMC-HB-0158,0.01913542412951292
OGLE LMC-HB-0159,0.1450327954205316
OGLE LMC-HB-0160,0.3545280587335546
OGLE LMC-HB-0161,0.17056351738842732
OGLE LMC-HB-0162,-1.4878706924428537
OGLE LMC-HB-0163,-0.10696875695453009
OGLE LMC-HB-0164,0.8081104167525587
OGLE LMC-HB-0165,0.17173773451157134
OGLE LMC-HB-0166,-0.06284832660462049
OGLE LMC-HB-0167,-1.9710789983614827
OGLE LMC-HB-0168,-0.3375596266439742
OGLE LMC-HB-0169,0.002065090605946977
OGLE LMC-HB-0170,-0.19466084806535483
OGLE LMC-HB-0171,-0.05109491932046926
OGLE LMC-HB-0172,-0.3628094261413463
OGLE LMC-HB-0173,-0.19443370006798993
OGLE LMC-HB-0174,-0.07287429297036947
OGLE LMC-HB-0175,0.06162763160119601
OGLE LMC-HB-0176,-1.072214799246876
OGLE LMC-HB-0177,-0.07798156439276728
OGLE LMC-HB-0178,0.6617527680261838
OGLE LMC-HB-0179,-0.02049140294454775
OGLE LMC-HB-0180,-0.1363867210182677
OGLE LMC-HB-0181,-0.46966718112039535
OGLE LMC-HB-0182,0.06656629706377497
OGLE LMC-HB-0183,0.2716108057080693
OGLE LMC-HB-0184,-0.09704447193243759
OGLE LMC-HB-0185,0.898424550596009
OGLE LMC-HB-0186,-0.46391015762911025
OGLE LMC-HB-0187,0.11337675749145909
OGLE LMC-HB-0188,0.09880290314180991
OGLE LMC-HB-0189,-0.10920235780613
OGLE LMC-HB-0190,-0.04266640671305415
OGLE LMC-HB-0191,-0.16691576511244036
OGLE LMC-HB-0192,0.17312271413998706
OGLE LMC-HB-0193,-0.25957091845552505
OGLE LMC-HB-0194,1.4491494551694035
OGLE LMC-HB-0195,-0.6348108509339359
OGLE LMC-HB-0196,-0.11932809615442182
OGLE LMC-HB-0197,-0.24776640117420687
OGLE LMC-HB-0198,0.010841828306361195
OGLE LMC-HB-0199,-0.08208183051847324
OGLE LMC-HB-0200,0.011365832038800974
OGLE LMC-HB-0201,0.060510035292005715
OGLE LMC-HB-0202,0.04317727245650817
OGLE LMC-HB-0203,0.6754458582373516
OGLE LMC-HB-0204,0.15799325059828878
OGLE LMC-HB-0205,-0.9419701316311728
OGLE LMC-HB-0206,0.19189543598287623
OGLE LMC-HB-0207,-2.2076677114537064
OGLE LMC-HB-0208,-0.0698659525485753
OGLE LMC-HB-0209,0.23905523097353193
